level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,region,count,region name
root,,,,,,,,,,,987,6825,root
root,Basic cell groups and regions,Brain stem,Hindbrain,Medulla,"Medulla, sensory related",Nucleus of the solitary tract,,,,,641,1,Nucleus of the solitary tract
root,Basic cell groups and regions,Brain stem,Hindbrain,Pons,"Pons, behavioral state related",Superior central nucleus raphe,,,,,669,1,Superior central nucleus raphe
root,Basic cell groups and regions,Brain stem,Hindbrain,Pons,"Pons, motor related",Tegmental reticular nucleus,,,,,564,1,Tegmental reticular nucleus
root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,,,,,,,1086,3,Hypothalamus
root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic lateral zone,Tuberal nucleus,,,,,604,1,Tuberal nucleus
root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Mammillary body,Medial mammillary nucleus,"Medial mammillary nucleus, median part",,,722,1,"Medial mammillary nucleus, median part"
root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Midline group of the dorsal thalamus,Paraventricular nucleus of the thalamus,,,,144,1,Paraventricular nucleus of the thalamus
root,Basic cell groups and regions,Cerebellum,Cerebellar cortex,Hemispheric regions,Ansiform lobule,Crus 2,,,,,1053,1,Crus 2
root,Basic cell groups and regions,Cerebellum,Cerebellar cortex,Hemispheric regions,Paraflocculus,,,,,,1030,1,Paraflocculus
root,Basic cell groups and regions,Cerebellum,Cerebellar cortex,Vermal regions,Central lobule,Lobule III,,,,,974,3,Lobule III
root,Basic cell groups and regions,Cerebellum,Cerebellar cortex,Vermal regions,Culmen,Lobules IV-V,,,,,1080,4,Lobules IV-V
root,Basic cell groups and regions,Cerebellum,Cerebellar cortex,Vermal regions,Declive (VI),,,,,,926,1,Declive (VI)
root,Basic cell groups and regions,Cerebellum,Cerebellar cortex,Vermal regions,Nodulus (X),,,,,,958,2,Nodulus (X)
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,,,,,,1078,2734,Hippocampal formation
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Hippocampal region,Ammon's horn,Field CA1,,,372,1810,Field CA1
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Hippocampal region,Ammon's horn,Field CA2,,,413,225,Field CA2
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Hippocampal region,Ammon's horn,Field CA3,,,453,476,Field CA3
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Hippocampal region,Dentate gyrus,"Dentate gyrus, granule cell layer",,,622,15,"Dentate gyrus, granule cell layer"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Hippocampal region,Dentate gyrus,"Dentate gyrus, molecular layer",,,1159,77,"Dentate gyrus, molecular layer"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Hippocampal region,Dentate gyrus,"Dentate gyrus, polymorph layer",,,1160,3,"Dentate gyrus, polymorph layer"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Hippocampal region,Induseum griseum,,,,17,15,Induseum griseum
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Retrohippocampal region,Area prostriata,,,,1279,1,Area prostriata
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Retrohippocampal region,Entorhinal area,"Entorhinal area, lateral part","Entorhinal area, lateral part, layer 1",,1109,2,"Entorhinal area, lateral part, layer 1"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Retrohippocampal region,Entorhinal area,"Entorhinal area, lateral part","Entorhinal area, lateral part, layer 2",,18,3,"Entorhinal area, lateral part, layer 2"
