acronym,name,color_hex_triplet,graph_order,identifier,red,green,blue,parent_identifier,count
FRP,"Frontal pole, cerebral cortex",#268F45,6.0,MBA:184,38,143,69,MBA:315,4
MOp,Primary motor area,#1F9D5A,18.0,MBA:985,31,157,90,MBA:500,0
MOs,Secondary motor area,#1F9D5A,24.0,MBA:993,31,157,90,MBA:500,3
SSp-n,"Primary somatosensory area, nose",#188064,44.0,MBA:353,24,128,100,MBA:322,1
SSp-bfd,"Primary somatosensory area, barrel field",#188064,51.0,MBA:329,24,128,100,MBA:322,13
SSp-ll,"Primary somatosensory area, lower limb",#188064,65.0,MBA:337,24,128,100,MBA:322,0
SSp-m,"Primary somatosensory area, mouth",#188064,72.0,MBA:345,24,128,100,MBA:322,2
SSp-ul,"Primary somatosensory area, upper limb",#188064,79.0,MBA:369,24,128,100,MBA:322,0
SSp-tr,"Primary somatosensory area, trunk",#188064,86.0,MBA:361,24,128,100,MBA:322,0
SSp-un,"Primary somatosensory area, unassigned",#188064,93.0,MBA:182305689,24,128,100,MBA:322,2
SSs,Supplemental somatosensory area,#188064,100.0,MBA:378,24,128,100,MBA:453,9
GU,Gustatory areas,#009C75,107.0,MBA:1057,0,156,117,MBA:315,0
VISC,Visceral area,#11AD83,114.0,MBA:677,17,173,131,MBA:315,2
AUDd,Dorsal auditory area,#019399,122.0,MBA:1011,1,147,153,MBA:247,16
AUDp,Primary auditory area,#019399,136.0,MBA:1002,1,147,153,MBA:247,16
AUDpo,Posterior auditory area,#019399,143.0,MBA:1027,1,147,153,MBA:247,3
AUDv,Ventral auditory area,#019399,150.0,MBA:1018,1,147,153,MBA:247,5
VISal,Anterolateral visual area,#08858C,164.0,MBA:402,8,133,140,MBA:669,4
VISam,Anteromedial visual area,#08858C,171.0,MBA:394,8,133,140,MBA:669,2
VISl,Lateral visual area,#08858C,178.0,MBA:409,8,133,140,MBA:669,3
VISp,Primary visual area,#08858C,185.0,MBA:385,8,133,140,MBA:669,5
VISpl,Posterolateral visual area,#08858C,192.0,MBA:425,8,133,140,MBA:669,1
VISpm,posteromedial visual area,#08858C,199.0,MBA:533,8,133,140,MBA:669,1
VISli,Laterointermediate area,#08858C,206.0,MBA:312782574,8,133,140,MBA:669,0
VISpor,Postrhinal area,#08858C,213.0,MBA:312782628,8,133,140,MBA:669,1
ACAd,"Anterior cingulate area, dorsal part",#40A666,226.0,MBA:39,64,166,102,MBA:31,2
ACAv,"Anterior cingulate area, ventral part",#40A666,232.0,MBA:48,64,166,102,MBA:31,6
PL,Prelimbic area,#2FA850,238.0,MBA:972,47,168,80,MBA:315,62
ILA,Infralimbic area,#59B363,245.0,MBA:44,89,179,99,MBA:315,72
ORBl,"Orbital area, lateral part",#248A5E,258.0,MBA:723,36,138,94,MBA:714,864
ORBm,"Orbital area, medial part",#248A5E,264.0,MBA:731,36,138,94,MBA:714,419
ORBvl,"Orbital area, ventrolateral part",#248A5E,272.0,MBA:746,36,138,94,MBA:714,899
AId,"Agranular insular area, dorsal part",#219866,279.0,MBA:104,33,152,102,MBA:95,12
AIp,"Agranular insular area, posterior part",#219866,285.0,MBA:111,33,152,102,MBA:95,0
AIv,"Agranular insular area, ventral part",#219866,291.0,MBA:119,33,152,102,MBA:95,46
RSPagl,"Retrosplenial area, lateral agranular part",#1AA698,298.0,MBA:894,26,166,152,MBA:254,4
RSPd,"Retrosplenial area, dorsal part",#1AA698,325.0,MBA:879,26,166,152,MBA:254,2
RSPv,"Retrosplenial area, ventral part",#1AA698,332.0,MBA:886,26,166,152,MBA:254,1
VISa,Anterior area,#009FAC,346.0,MBA:312782546,0,159,172,MBA:22,2
VISrl,Rostrolateral visual area,#009FAC,353.0,MBA:417,0,159,172,MBA:22,4
TEa,Temporal association areas,#15B0B3,360.0,MBA:541,21,176,179,MBA:315,1
PERI,Perirhinal area,#0E9684,367.0,MBA:922,14,150,132,MBA:315,6
ECT,Ectorhinal area,#0D9F91,373.0,MBA:895,13,159,145,MBA:315,3
MOB,Main olfactory bulb,#9AD2BD,380.0,MBA:507,154,210,189,MBA:698,48
AOB,Accessory olfactory bulb,#9DF0D2,386.0,MBA:151,157,240,210,MBA:698,0
AON,Anterior olfactory nucleus,#54BF94,390.0,MBA:159,84,191,148,MBA:698,120
TT,Taenia tecta,#62D09F,398.0,MBA:589,98,208,159,MBA:698,343
DP,Dorsal peduncular area,#A4DAA4,410.0,MBA:814,164,218,164,MBA:698,46
PIR,Piriform area,#6ACBBA,416.0,MBA:961,106,203,186,MBA:698,7
NLOT,Nucleus of the lateral olfactory tract,#95E4C8,421.0,MBA:619,149,228,200,MBA:698,0
COAa,"Cortical amygdalar area, anterior part",#61E7B7,427.0,MBA:639,97,231,183,MBA:631,0
COAp,"Cortical amygdalar area, posterior part",#61E7B7,431.0,MBA:647,97,231,183,MBA:631,0
PAA,Piriform-amygdalar area,#59DAAB,444.0,MBA:788,89,218,171,MBA:698,0
TR,Postpiriform transition area,#A8ECD3,449.0,MBA:566,168,236,211,MBA:698,0
CA1,Field CA1,#7ED04B,457.0,MBA:382,126,208,75,MBA:375,1810
CA2,Field CA2,#7ED04B,462.0,MBA:423,126,208,75,MBA:375,225
CA3,Field CA3,#7ED04B,467.0,MBA:463,126,208,75,MBA:375,476
DG,Dentate gyrus,#7ED04B,473.0,MBA:726,126,208,75,MBA:1080,95
FC,Fasciola cinerea,#7ED04B,490.0,MBA:982,126,208,75,MBA:1080,0
IG,Induseum griseum,#7ED04B,491.0,MBA:19,126,208,75,MBA:1080,15
ENTl,"Entorhinal area, lateral part",#32B825,494.0,MBA:918,50,184,37,MBA:909,8
ENTm,"Entorhinal area, medial part, dorsal zone",#32B825,507.0,MBA:926,50,184,37,MBA:909,22
PAR,Parasubiculum,#72D569,523.0,MBA:843,114,213,105,MBA:822,4
POST,Postsubiculum,#48C83C,527.0,MBA:1037,72,200,60,MBA:822,13
PRE,Presubiculum,#59B947,531.0,MBA:1084,89,185,71,MBA:822,1
SUB,Subiculum,#4FC244,535.0,MBA:502,79,194,68,MBA:822,21
ProS,Prosubiculum,#58BA48,544.0,MBA:484682470,88,186,72,MBA:822,41
HATA,Hippocampo-amygdalar transition area,#33B932,553.0,MBA:589508447,51,185,50,MBA:822,0
APr,Area prostriata,#33B932,554.0,MBA:484682508,51,185,50,MBA:822,1
CLA,Claustrum,#8ADA87,557.0,MBA:583,138,218,135,MBA:703,0
EPd,"Endopiriform nucleus, dorsal part",#A0EE9D,559.0,MBA:952,160,238,157,MBA:942,0
EPv,"Endopiriform nucleus, ventral part",#A0EE9D,560.0,MBA:966,160,238,157,MBA:942,0
LA,Lateral amygdalar nucleus,#90EB8D,561.0,MBA:131,144,235,141,MBA:703,0
BLA,Basolateral amygdalar nucleus,#9DE79C,562.0,MBA:295,157,231,156,MBA:703,0
BMA,Basomedial amygdalar nucleus,#84EA81,566.0,MBA:319,132,234,129,MBA:703,0
PA,Posterior amygdalar nucleus,#97EC93,569.0,MBA:780,151,236,147,MBA:703,0
CP,Caudoputamen,#98D6F9,573.0,MBA:672,152,214,249,MBA:485,5
ACB,Nucleus accumbens,#80CDF8,575.0,MBA:56,128,205,248,MBA:493,3
FS,Fundus of striatum,#80CDF8,576.0,MBA:998,128,205,248,MBA:493,0
OT,Olfactory tubercle,#80CDF8,577.0,MBA:754,128,205,248,MBA:493,38
LSc,"Lateral septal nucleus, caudal (caudodorsal) part",#90CBED,587.0,MBA:250,144,203,237,MBA:242,0
LSr,"Lateral septal nucleus, rostral (rostroventral) part",#90CBED,588.0,MBA:258,144,203,237,MBA:242,2
LSv,"Lateral septal nucleus, ventral part",#90CBED,589.0,MBA:266,144,203,237,MBA:242,0
SF,Septofimbrial nucleus,#90CBED,590.0,MBA:310,144,203,237,MBA:275,0
SH,Septohippocampal nucleus,#90CBED,591.0,MBA:333,144,203,237,MBA:275,0
AAA,Anterior amygdalar area,#80C0E2,593.0,MBA:23,128,192,226,MBA:278,0
BA,Bed nucleus of the accessory olfactory tract,#80C0E2,594.0,MBA:292,128,192,226,MBA:278,0
CEA,Central amygdalar nucleus,#80C0E2,595.0,MBA:536,128,192,226,MBA:278,0
IA,Intercalated amygdalar nucleus,#80C0E2,599.0,MBA:1105,128,192,226,MBA:278,0
MEA,Medial amygdalar nucleus,#80C0E2,600.0,MBA:403,128,192,226,MBA:278,0
GPe,"Globus pallidus, external segment",#8599CC,610.0,MBA:1022,133,153,204,MBA:818,0
GPi,"Globus pallidus, internal segment",#8599CC,611.0,MBA:1031,133,153,204,MBA:818,0
SI,Substantia innominata,#A2B1D8,613.0,MBA:342,162,177,216,MBA:835,0
MA,Magnocellular nucleus,#A2B1D8,614.0,MBA:298,162,177,216,MBA:835,0
MS,Medial septal nucleus,#96A7D3,617.0,MBA:564,150,167,211,MBA:904,3
NDB,Diagonal band nucleus,#96A7D3,618.0,MBA:596,150,167,211,MBA:904,31
TRS,Triangular nucleus of septum,#96A7D3,619.0,MBA:581,150,167,211,MBA:826,0
BST,Bed nuclei of the stria terminalis,#B3C0DF,621.0,MBA:351,179,192,223,MBA:809,0
BAC,Bed nucleus of the anterior commissure,#B3C0DF,638.0,MBA:287,179,192,223,MBA:809,0
