1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.074261	0.000000	17.959838	0.010328	10.2
1	-0.082706	0.000000	17.959838	0.007662	0.3
2	-0.071030	0.000000	17.959838	0.003982	0.4
3	-0.071588	0.393344	17.629623	0.013692	0.4
4	-0.087461	0.000000	17.959838	0.013553	0.3
5	-0.089119	1.000000	17.143481	0.004730	0.3
6	-0.049800	1.999878	16.398200	0.006347	0.4
7	-0.078739	2.977185	15.729811	0.004370	0.4
8	-0.085155	3.576437	15.346268	0.009767	0.3
9	-0.082186	2.810247	15.840096	0.016253	0.3
10	-0.062749	2.008825	16.391823	0.006343	0.3
11	-0.062224	1.262444	16.941383	0.004141	0.3
12	-0.072357	2.251098	16.221023	0.002603	0.4
13	-0.051638	1.743949	16.582723	0.010335	0.4
14	-0.064580	1.056177	17.099817	0.011373	0.4
15	-0.077574	2.056177	16.358158	0.007047	0.3
16	-0.073592	3.056177	15.678160	0.013813	0.5
17	-0.096193	4.056177	15.052440	0.006582	0.5
18	-0.065858	3.254755	15.549800	0.009023	0.5
19	-0.068879	4.247612	14.938308	0.004989	0.3
20	-0.080819	3.473596	15.410755	0.008387	0.3
21	-0.075819	2.672590	15.932206	0.014593	0.4
22	-0.076472	3.672590	15.286461	0.008707	0.4
23	-0.087813	4.456224	14.815889	0.004010	0.4
24	-0.061222	3.663787	15.291917	0.018475	0.4
25	-0.057875	2.864357	15.804180	0.011478	0.4
26	-0.070946	2.062936	16.353364	0.004634	0.4
27	-0.082912	3.056758	15.677781	0.014251	0.4
28	-0.071650	2.256495	16.217258	0.003712	0.4
29	-0.074385	3.256017	15.548991	0.017901	0.4
30	-0.051357	4.256004	14.933344	0.007700	0.4
31	-0.087542	5.255249	14.364998	0.012387	0.5
32	-0.061244	4.553681	14.759384	0.004471	0.5
33	-0.077498	4.180403	14.978179	0.008450	0.3
34	-0.065651	4.238697	14.943584	0.001648	0.4
35	-0.059672	5.125551	14.436311	0.012039	0.4
36	-0.082474	4.345844	14.880411	0.004489	0.4
37	-0.069836	5.184100	14.404031	0.002825	0.5
38	-0.078774	5.981657	13.978259	0.005765	0.4
39	-0.067457	5.410971	14.280300	0.004584	0.4
40	-0.069587	4.617243	14.722763	0.010090	0.3
41	-0.065529	5.616505	14.170027	0.007320	0.3
42	-0.059071	5.775445	14.085913	0.005910	0.4
43	-0.083803	5.526579	14.218064	0.003730	0.4
44	-0.080596	6.494256	13.717650	0.008988	0.4
45	-0.057636	7.343114	13.306816	0.017240	0.4
46	-0.061721	6.541692	13.694024	0.006458	0.3
47	-0.073229	5.740271	14.104442	0.017934	0.4
48	-0.082304	6.740271	13.595995	0.002544	0.4
49	-0.085719	7.739830	13.123132	0.004105	0.4
50	-0.090222	7.186687	13.380664	0.023793	0.4
51	-0.075553	6.385305	13.772225	0.008774	0.3
52	-0.084995	5.583883	14.187415	0.008504	0.4
53	-0.071131	4.782464	14.628415	0.010961	0.5
54	-0.061038	5.782462	14.082222	0.006065	0.4
55	-0.077465	6.782455	13.575351	0.006527	0.4
56	-0.074173	7.780528	13.104575	0.007116	0.4
57	-0.073394	8.530339	12.771834	0.007992	0.4
58	-0.066339	9.527443	12.354673	0.004072	0.4
59	-0.079306	9.997942	12.167149	0.003023	0.4
60	-0.071337	9.302064	12.446564	0.002604	0.4
61	-0.068948	9.437059	12.391361	0.004253	0.4
62	-0.048557	8.844332	12.637461	0.008697	0.4
63	-0.086996	8.729594	12.686234	0.010694	0.4
64	-0.092197	7.928172	13.037692	0.012480	0.3
65	-0.055704	8.928172	12.602059	0.003447	0.4
66	-0.077559	9.889993	12.209669	0.014555	0.4
67	-0.081233	9.533184	12.352351	0.010204	0.3
68	-0.077598	8.731762	12.685309	0.006255	0.4
69	-0.074004	7.930409	13.036684	0.006935	0.4
70	-0.070369	8.871753	12.625861	0.008413	0.4
71	-0.062559	8.100897	12.960308	0.012461	0.4
72	-0.059111	9.100897	12.529746	0.011704	0.4
73	-0.088578	8.299475	12.872469	0.005132	0.4
74	-0.066469	7.498699	13.234169	0.005322	0.4
75	-0.057773	6.935647	13.500908	0.007004	0.4
76	-0.074079	6.148778	13.892213	0.008118	0.4
77	-0.053349	5.485931	14.239884	0.006513	0.4
78	-0.077159	4.944404	14.537108	0.004773	0.3
79	-0.065816	4.206244	14.962824	0.005840	0.3
80	-0.083220	3.892600	15.151354	0.014172	0.3
81	-0.066974	4.892600	14.566192	0.002648	0.4
82	-0.066791	4.102557	15.024628	0.008227	0.4
83	-0.074377	5.077283	14.463033	0.006205	0.3
84	-0.063096	6.048969	13.943474	0.004776	0.3
85	-0.080354	5.382832	14.295531	0.007547	0.4
86	-0.082002	4.584178	14.741790	0.004326	0.3
87	-0.058461	5.580490	14.189226	0.006533	0.3
88	-0.065745	6.571345	13.679296	0.005944	0.3
89	-0.092886	5.771517	14.087980	0.009721	0.4
90	-0.078582	5.355245	14.310494	0.006742	0.3
91	-0.069578	6.355240	13.787362	0.003476	0.4
92	-0.077304	6.000726	13.968387	0.008731	0.4
93	-0.055302	5.276107	14.353594	0.010156	0.4
94	-0.068301	6.265769	13.832604	0.005432	0.5
95	-0.068848	5.855819	14.043757	0.007582	0.5
96	-0.077765	6.854531	13.540224	0.006701	0.4
97	-0.059921	6.053448	13.941165	0.002517	0.4
98	-0.055826	6.780305	13.576402	0.010381	0.4
99	-0.082664	5.991002	13.973420	0.012306	0.3
100	-0.070734	5.189580	14.401017	0.009808	0.3
101	-0.083051	4.388159	14.855610	0.007765	0.3
102	-0.080123	3.586737	15.339839	0.011473	0.4
103	-0.075592	4.586737	14.740316	0.002703	0.4
104	-0.068023	3.793679	15.211804	0.005818	0.4
105	-0.066964	4.705882	14.671996	0.002827	0.3
106	-0.081877	4.499030	14.791017	0.004326	0.4
107	-0.065225	4.744095	14.650218	0.008881	0.4
108	-0.073398	5.106487	14.446854	0.008387	0.4
109	-0.072966	4.305491	14.904141	0.010461	0.3
110	-0.077208	3.504069	15.391590	0.003307	0.3
111	-0.071010	4.480592	14.801720	0.007572	0.4
112	-0.083172	3.699651	15.269714	0.007555	0.3
113	-0.090807	4.699618	14.675572	0.007927	0.4
114	-0.076450	4.114059	15.017748	0.015946	0.3
115	-0.090122	3.312637	15.512780	0.008297	0.4
116	-0.070741	4.312637	14.899933	0.005673	0.4
117	-0.068647	3.647369	15.302103	0.004554	0.3
118	-0.082294	2.978630	15.728863	0.014845	0.3
119	-0.091582	2.382700	16.129728	0.012103	0.3
120	-0.073789	1.581279	16.702180	0.003901	0.4
121	-0.070990	2.580896	15.994159	0.005063	0.4
122	-0.086530	3.074652	15.666128	0.013425	0.3
123	-0.072805	3.046557	15.684432	0.021219	0.4
124	-0.102255	4.046557	15.058221	0.016819	0.4
125	-0.090012	5.046557	14.480094	0.017742	0.4
126	-0.066861	6.046557	13.944717	0.005725	0.4
127	-0.079681	7.046557	13.447518	0.005765	0.4
128	-0.078578	7.473861	13.245713	0.009651	0.3
129	-0.062166	6.674417	13.628348	0.006755	0.3
130	-0.084113	6.801281	13.566159	0.006236	0.4
131	-0.077763	7.789929	13.100296	0.002703	0.4
132	-0.079471	8.291211	12.876101	0.010418	0.3
133	-0.097424	7.495963	13.235439	0.018888	0.4
134	-0.073390	8.495960	12.786720	0.006342	0.4
135	-0.064624	9.495960	12.367428	0.006366	0.4
136	-0.078739	10.494256	11.975409	0.016553	0.4
137	-0.061667	9.692835	12.288099	0.006278	0.4
138	-0.086432	10.692835	11.900374	0.013088	0.4
139	-0.064635	11.692835	11.536369	0.011269	0.4
140	-0.086306	10.891413	11.826274	0.010118	0.4
141	-0.079275	10.089991	12.131126	0.002767	0.3
142	-0.057947	10.927710	11.812829	0.004441	0.3
143	-0.063556	11.707100	11.531337	0.004040	0.4
144	-0.069760	10.951452	11.804052	0.011243	0.4
145	-0.055784	11.946304	11.447615	0.017298	0.4
146	-0.063201	12.946304	11.110388	0.008505	0.4
147	-0.074131	13.946304	10.792460	0.011667	0.3
148	-0.069735	13.144882	11.045772	0.009662	0.4
149	-0.074187	12.992640	11.095243	0.005572	0.4
150	-0.076557	12.768178	11.168994	0.007818	0.4
151	-0.077370	11.968043	11.440066	0.013966	0.4
152	-0.079035	11.166630	11.725089	0.006690	0.4
153	-0.064550	10.365208	12.024680	0.008715	0.4
154	-0.058115	11.365053	11.653205	0.012973	0.3
155	-0.072439	10.563973	11.948958	0.004653	0.4
156	-0.069964	11.563948	11.582029	0.003640	0.4
157	-0.078651	10.855277	11.839690	0.003283	0.3
158	-0.100152	11.156827	11.728663	0.007279	0.4
159	-0.071124	10.545683	11.955886	0.008745	0.4
160	-0.099888	9.757289	12.262348	0.014662	0.4
161	-0.069730	8.957629	12.589668	0.008358	0.4
162	-0.061355	9.957629	12.182994	0.006849	0.4
163	-0.071927	10.957617	11.801775	0.003453	0.3
164	-0.061914	10.193356	12.090927	0.006983	0.3
165	-0.077058	9.409755	12.402487	0.009147	0.4
166	-0.060260	8.608423	12.738152	0.003756	0.6
167	-0.076458	9.485433	12.371699	0.001204	0.4
168	-0.068405	9.234550	12.474358	0.002712	0.4
169	-0.086836	9.364979	12.420776	0.004249	0.4
170	-0.060496	9.785667	12.251045	0.004246	0.3
171	-0.074988	9.016831	12.564837	0.006351	0.4
172	-0.062892	9.139368	12.513752	0.007247	0.5
173	-0.070358	8.343659	12.853087	0.005276	0.4
174	-0.083814	9.342885	12.429820	0.010351	0.4
175	-0.068284	8.541475	12.767020	0.010693	0.4
176	-0.066453	9.541466	12.349001	0.004673	0.4
177	-0.076538	10.487506	11.977976	0.011566	0.4
178	-0.064313	11.484091	11.610502	0.003239	0.3
179	-0.074939	10.726660	11.887687	0.001768	0.4
180	-0.081739	10.367121	12.023947	0.005322	0.4
181	-0.076787	9.976314	12.175645	0.014528	0.4
182	-0.080071	9.174917	12.499010	0.003206	0.4
183	-0.070098	8.375317	12.839235	0.001000	0.3
184	-0.079218	8.626084	12.730558	0.001259	0.4
185	-0.068703	8.662101	12.715100	0.003410	0.4
186	-0.079927	8.603935	12.740083	0.003809	0.4
187	-0.057391	9.445778	12.387813	0.002996	0.4
188	-0.066704	8.946520	12.594338	0.011271	0.3
189	-0.079105	8.221941	12.906623	0.006018	0.4
190	-0.056012	9.221925	12.479569	0.006458	0.4
191	-0.069544	10.209952	12.084498	0.004937	0.3
192	-0.076162	9.856030	12.223108	0.004137	0.3
193	-0.077912	9.154869	12.507320	0.009093	0.3
194	-0.095036	8.357207	12.847155	0.007364	0.4
195	-0.081333	9.357179	12.423967	0.008395	0.4
196	-0.059786	10.356900	12.027866	0.004897	0.4
197	-0.074048	9.556745	12.342826	0.001760	0.4
198	-0.092525	10.171388	12.099448	0.011635	0.4
199	-0.070632	9.416064	12.399914	0.005399	0.3
200	-0.087894	8.614751	12.735430	0.006387	0.4
201	-0.067138	9.602020	12.324565	0.007674	0.4
202	-0.076795	8.805964	12.653729	0.009622	0.3
203	-0.074525	8.004858	13.003222	0.007484	0.4
204	-0.089735	8.906377	12.611243	0.003487	0.4
205	-0.071234	8.111881	12.955418	0.003869	0.3
206	-0.062175	8.973869	12.582847	0.001614	0.3
207	-0.080996	9.158185	12.505945	0.018534	0.4
208	-0.065038	8.411513	12.823434	0.003559	0.4
209	-0.066912	9.411276	12.401867	0.005312	0.4
210	-0.065008	9.201864	12.487858	0.010046	0.4
211	-0.086674	10.193133	12.091013	0.007672	0.3
212	-0.101125	9.638233	12.309998	0.005243	0.5
213	-0.060494	9.012028	12.566848	0.009692	0.5
214	-0.069683	10.011964	12.161648	0.004780	0.4
215	-0.071014	11.011480	11.781917	0.012967	0.4
216	-0.076197	12.011403	11.425040	0.006755	0.4
217	-0.065025	11.209982	11.709308	0.005477	0.4
218	-0.066863	10.409232	12.007826	0.004260	0.4
219	-0.097001	10.099321	12.127486	0.006047	0.5
220	-0.075154	11.058023	11.764811	0.003125	0.5
221	-0.072931	10.600932	11.934983	0.005796	0.4
222	-0.092767	9.844365	12.227731	0.002744	0.4
223	-0.077891	10.216622	12.081915	0.008433	0.4
224	-0.087641	11.069765	11.760504	0.002770	0.3
225	-0.060834	11.939134	11.450106	0.008541	0.4
226	-0.094076	11.146347	11.732487	0.007954	0.4
227	-0.088295	12.146343	11.378528	0.005655	0.4
228	-0.071824	13.144038	11.046045	0.004987	0.5
229	-0.085873	13.890099	10.809846	0.004395	0.5
230	-0.070547	14.835002	10.524810	0.006698	0.4
231	-0.067569	14.149764	10.729989	0.005295	0.4
232	-0.071847	13.479717	10.938506	0.001200	0.4
233	-0.077723	13.009895	11.089614	0.011380	0.3
234	-0.081706	13.057700	11.074048	0.013890	0.4
235	-0.075742	14.057700	10.758167	0.008374	0.4
236	-0.067713	13.256278	11.009853	0.002963	0.4
237	-0.077745	14.233535	10.704478	0.007634	0.3
238	-0.078951	13.449019	10.948254	0.003306	0.3
239	-0.059670	12.834698	11.147036	0.003739	0.4
240	-0.070712	12.170127	11.370369	0.009514	0.3
241	-0.090377	12.006453	11.426753	0.010091	0.4
242	-0.074817	11.205031	11.711108	0.003755	0.6
243	-0.080420	12.204094	11.358738	0.007562	0.4
244	-0.075847	11.439275	11.626542	0.006315	0.4
245	-0.080784	12.395210	11.293733	0.007431	0.5
246	-0.066540	13.390838	10.966775	0.002957	0.4
247	-0.070575	13.803086	10.836872	0.004263	0.4
248	-0.069006	14.083773	10.750172	0.006416	0.7
249	-0.068272	13.292930	10.998086	0.012614	0.7
250	-0.063545	12.491508	11.261260	0.007316	0.4
251	-0.087859	13.485810	10.936573	0.008379	0.5
252	-0.082851	14.485794	10.628383	0.003600	0.4
253	-0.086048	15.453397	10.346267	0.010477	0.4
254	-0.049315	14.655843	10.577694	0.003195	0.4
255	-0.070746	14.761579	10.546419	0.011892	0.4
256	-0.085088	14.042737	10.762761	0.008589	0.4
257	-0.072896	15.042737	10.464150	0.005616	0.4
258	-0.061058	16.042595	10.181700	0.001570	0.4
259	-0.069840	16.241115	10.127425	0.010621	0.3
260	-0.092948	15.998882	10.193729	0.004346	0.4
261	-0.056667	16.866908	9.960058	0.008874	0.4
262	-0.084051	16.086387	10.169677	0.012573	0.4
263	-0.092277	17.086386	9.902662	0.013880	0.4
264	-0.069502	16.284964	10.115514	0.001476	0.3
265	-0.065440	15.502329	10.332398	0.007128	0.4
266	-0.053973	16.057806	10.177521	0.008298	0.3
267	-0.075492	17.057403	9.910203	0.004792	0.3
268	-0.077335	16.310571	10.108572	0.017694	0.4
269	-0.077746	15.550896	10.318669	0.021436	0.4
270	-0.071809	16.550896	10.043877	0.002517	0.4
271	-0.066824	15.779558	10.254517	0.003295	0.3
272	-0.067971	15.459720	10.344473	0.005550	0.4
273	-0.078575	16.351562	10.097479	0.003978	0.4
274	-0.064802	17.135470	9.889916	0.002403	0.3
275	-0.092522	17.627379	9.763971	0.010234	0.4
276	-0.060976	16.866176	9.960250	0.009648	0.4
277	-0.072297	16.064808	10.175598	0.010439	0.4
278	-0.066117	17.064808	9.908275	0.004044	0.4
279	-0.080385	18.016001	9.666716	0.003423	0.4
280	-0.054814	17.452751	9.808312	0.014137	0.4
281	-0.076189	18.452216	9.559833	0.009882	0.6
282	-0.085004	19.452216	9.323509	0.006081	0.4
283	-0.069910	18.650910	9.511928	0.002030	0.4
284	-0.072567	19.432025	9.328165	0.002965	0.3
285	-0.069049	19.377684	9.340719	0.003337	0.4
286	-0.070958	19.295423	9.359787	0.002341	0.4
287	-0.070457	18.884332	9.456259	0.004593	0.5
288	-0.081723	18.409490	9.570197	0.008460	0.4
289	-0.063310	17.609976	9.768371	0.003375	0.4
290	-0.075935	18.381749	9.576939	0.007170	0.5
291	-0.069002	19.367533	9.343068	0.006817	0.5
292	-0.082043	18.570304	9.531304	0.019182	0.5
293	-0.059160	17.768883	9.728333	0.006412	0.5
294	-0.093806	16.967844	9.933579	0.013721	0.4
295	-0.079243	16.166496	10.147758	0.016164	0.4
296	-0.092664	17.166496	9.881876	0.016270	0.4
297	-0.069825	18.166495	9.629572	0.006510	0.4
298	-0.084663	19.166495	9.389831	0.010220	0.4
299	-0.081165	18.365613	9.580864	0.007720	0.3
300	-0.072325	17.801325	9.720199	0.001728	0.3
301	-0.056693	17.079006	9.904581	0.005085	0.4
302	-0.065664	17.374338	9.828354	0.006047	0.4
303	-0.094701	18.368287	9.580213	0.008872	0.6
304	-0.055511	18.185660	9.624863	0.004892	0.3
305	-0.084811	19.184617	9.385596	0.004909	0.3
306	-0.079508	19.295841	9.359690	0.011259	0.4
307	-0.057375	20.295662	9.133080	0.004564	0.4
308	-0.075273	21.285960	8.919192	0.005479	0.3
309	-0.077330	21.852679	8.801237	0.005848	0.4
310	-0.053384	22.847809	8.601492	0.001277	0.4
311	-0.065825	23.092592	8.553740	0.003810	0.4
312	-0.070615	22.748021	8.621112	0.002689	0.4
313	-0.057849	22.522978	8.665689	0.003854	0.3
314	-0.064942	23.040302	8.563897	0.008484	0.4
315	-0.071499	23.968331	8.387160	0.012200	0.4
316	-0.094597	24.968331	8.204705	0.005082	0.4
317	-0.080040	24.166911	8.350285	0.007701	0.3
318	-0.061222	23.365830	8.501060	0.004600	0.4
319	-0.079127	24.356245	8.315428	0.006071	0.4
320	-0.073491	25.316435	8.143040	0.004615	0.4
321	-0.082316	24.518384	8.285808	0.004936	0.5
322	-0.089711	23.886549	8.402441	0.011385	0.4
323	-0.071905	24.120217	8.358927	0.005982	0.5
324	-0.075927	23.356228	8.502900	0.004635	0.4
325	-0.076041	24.346435	8.317227	0.009530	0.7
326	-0.068596	23.545509	8.466770	0.002955	0.7
327	-0.082532	22.747455	8.621224	0.008626	0.5
328	-0.074668	23.732294	8.431416	0.006269	0.4
329	-0.078174	22.930925	8.585218	0.009095	0.5
330	-0.064330	23.847412	8.409774	0.001491	0.4
331	-0.076807	24.638679	8.263968	0.003675	0.4
332	-0.061996	24.483969	8.292077	0.008019	0.4
333	-0.082439	25.476115	8.115063	0.005707	0.4
334	-0.078457	26.139300	8.000895	0.011076	0.4
335	-0.077589	26.943742	7.866649	0.005872	0.6
336	-0.074978	26.164776	7.996573	0.010049	0.4
337	-0.074246	25.363814	8.134719	0.006404	0.5
338	-0.072864	26.361520	7.963355	0.009994	0.4
339	-0.065011	27.361463	7.798701	0.011739	0.4
340	-0.090939	26.560041	7.930115	0.005685	0.4
341	-0.075312	25.758684	8.066022	0.004021	0.3
342	-0.065004	24.984831	8.201761	0.001827	0.4
343	-0.073197	25.519008	8.107580	0.008611	0.4
344	-0.064333	26.416012	7.954203	0.011065	0.5
345	-0.082012	27.412796	7.790432	0.012269	0.5
346	-0.073369	28.412796	7.632772	0.005830	0.5
347	-0.074303	27.611375	7.758608	0.006910	0.4
348	-0.071388	28.608121	7.602719	0.004178	0.4
349	-0.075491	29.597915	7.453995	0.003942	0.4
350	-0.081966	29.325355	7.494365	0.007577	0.4
351	-0.067710	28.526818	7.615199	0.012990	0.3
352	-0.072081	27.725396	7.740452	0.004272	0.4
