x,y,theta,mag,J
-3,-3,0,0.5,0.9240863454684223
-3,-3,0,1.0,0.9968470838924698
-3,-3,0,1.5,1.0861235968913967
-3,-3,0,2.0,1.1866879366115604
-3,-3,0,2.5,1.2817906076383416
-3,-3,0,3.0,1.3536536078021988
-3,-3,0,3.5,1.4441606145597885
-3,-3,0,4.0,1.4614966371103306
-3,-3,0,4.5,1.5387617974805927
-3,-3,0,5.0,1.4980100367701
-3,-3,10,0.5,0.9129184641028052
-3,-3,10,1.0,1.0085101285744393
-3,-3,10,1.5,1.1044126586866274
-3,-3,10,2.0,1.1754373204692383
-3,-3,10,2.5,1.207247409084279
-3,-3,10,3.0,1.2063948543671454
-3,-3,10,3.5,1.4820823144444688
-3,-3,10,4.0,1.6945957859229552
-3,-3,10,4.5,1.9072010262309809
-3,-3,10,5.0,1.838397411260886
-3,-3,20,0.5,0.9141342223778502
-3,-3,20,1.0,1.0168459374052181
-3,-3,20,1.5,1.0794864756493345
-3,-3,20,2.0,1.1111443719913858
-3,-3,20,2.5,1.3481386576148184
-3,-3,20,3.0,1.553534416300652
-3,-3,20,3.5,1.562677955688466
-3,-3,20,4.0,1.3819238215951675
-3,-3,20,4.5,1.9472624214647427
-3,-3,20,5.0,2.3718414633491087
-3,-3,30,0.5,0.909467287430807
-3,-3,30,1.0,1.0154743277466787
-3,-3,30,1.5,1.0586529835673117
-3,-3,30,2.0,1.2173095793976931
-3,-3,30,2.5,1.432034378060416
-3,-3,30,3.0,1.2540555780892266
-3,-3,30,3.5,1.6291576356587771
-3,-3,30,4.0,2.301454621771098
-3,-3,30,4.5,1.6185474937407247
-3,-3,30,5.0,1.7896663542905988
-3,-3,40,0.5,0.9041984469862521
-3,-3,40,1.0,1.007005988232325
-3,-3,40,1.5,1.062165378124327
-3,-3,40,2.0,1.2919379762390957
-3,-3,40,2.5,1.17994027625978
-3,-3,40,3.0,1.4366242913677267
-3,-3,40,3.5,1.724173228414968
-3,-3,40,4.0,1.4894731597136959
-3,-3,40,4.5,2.2235310943281332
-3,-3,40,5.0,1.4420229514675287
-3,-3,50,0.5,0.9094817515652538
-3,-3,50,1.0,0.9967143670195928
-3,-3,50,1.5,1.0883987374434976
-3,-3,50,2.0,1.1511364380707256
-3,-3,50,2.5,1.2472419636258723
-3,-3,50,3.0,1.5660828469924732
-3,-3,50,3.5,1.2963220463024903
-3,-3,50,4.0,1.5883986278361282
-3,-3,50,4.5,1.2299994746156078
-3,-3,50,5.0,1.3519169022777549
-3,-3,60,0.5,0.9009751932901415
-3,-3,60,1.0,0.9873745012587891
-3,-3,60,1.5,1.0495304290968264
-3,-3,60,2.0,1.0794312489997504
-3,-3,60,2.5,1.2905475893265974
-3,-3,60,3.0,1.25195973685953
-3,-3,60,3.5,1.2377811803380097
-3,-3,60,4.0,1.1559245411760988
-3,-3,60,4.5,1.1698585775627404
-3,-3,60,5.0,0.6479978862907885
-3,-3,70,0.5,0.8899641806859115
-3,-3,70,1.0,0.9764150627192044
-3,-3,70,1.5,1.0765763114055347
-3,-3,70,2.0,1.0499633351384363
-3,-3,70,2.5,1.6413466200521556
-3,-3,70,3.0,1.102987561107347
-3,-3,70,3.5,1.0735750862101319
-3,-3,70,4.0,1.0442745039833632
-3,-3,70,4.5,-0.07727609994846191
-3,-3,70,5.0,0.9183701148948877
-3,-3,80,0.5,0.8767984018061621
-3,-3,80,1.0,0.8806327287722131
-3,-3,80,1.5,1.0278344229442966
-3,-3,80,2.0,0.906724813177471
-3,-3,80,2.5,1.5529821383398297
-3,-3,80,3.0,0.8883421281769673
-3,-3,80,3.5,0.8512694731223797
-3,-3,80,4.0,0.8314430551836589
-3,-3,80,4.5,-0.3570599198300266
-3,-3,80,5.0,0.7851899577892
-3,-3,90,0.5,0.8618538119753966
-3,-3,90,1.0,0.8481533688797213
-3,-3,90,1.5,0.9710936309736533
-3,-3,90,2.0,0.8301329264518811
-3,-3,90,2.5,1.4383729239702203
-3,-3,90,3.0,0.7626336405319591
-3,-3,90,3.5,0.6228306487292886
-3,-3,90,4.0,0.6797406171271886
-3,-3,90,4.5,-0.6074188790669939
-3,-3,90,5.0,0.6228014424634002
-3,-2,0,0.5,0.9044888740702548
-3,-2,0,1.0,0.9972068227732686
-3,-2,0,1.5,1.1096773164423903
-3,-2,0,2.0,1.241798428605141
-3,-2,0,2.5,1.3643308330987431
-3,-2,0,3.0,1.4571865511377595
-3,-2,0,3.5,1.5728611780557302
-3,-2,0,4.0,1.5692729304856274
-3,-2,0,4.5,1.6643661477100007
-3,-2,0,5.0,1.6026803218655723
-3,-2,10,0.5,0.8910027857997835
-3,-2,10,1.0,1.0114898496237192
-3,-2,10,1.5,1.143709473545706
-3,-2,10,2.0,1.2210343474268832
-3,-2,10,2.5,1.2512045647916277
-3,-2,10,3.0,1.2511668983039406
-3,-2,10,3.5,1.5523352170247013
-3,-2,10,4.0,1.8314588315609068
-3,-2,10,4.5,2.195442108469846
-3,-2,10,5.0,1.9995296968203533
-3,-2,20,0.5,0.8898848873355958
-3,-2,20,1.0,1.0308347995721503
-3,-2,20,1.5,1.09643130198363
-3,-2,20,2.0,1.132988959331803
-3,-2,20,2.5,1.4038663169626193
-3,-2,20,3.0,1.8297070090660381
-3,-2,20,3.5,1.691995937509534
-3,-2,20,4.0,1.386683845911226
-3,-2,20,4.5,2.023254306277889
-3,-2,20,5.0,2.8491029115081377
-3,-2,30,0.5,0.8820735847640832
-3,-2,30,1.0,1.025796817468315
-3,-2,30,1.5,1.0686840481613273
-3,-2,30,2.0,1.2415144790587986
-3,-2,30,2.5,1.7043402713140527
-3,-2,30,3.0,1.249108204713127
-3,-2,30,3.5,1.643671107345432
-3,-2,30,4.0,1.9237400316063982
-3,-2,30,4.5,1.4524646809692652
-3,-2,30,5.0,1.6674970236304438
-3,-2,40,0.5,0.8764446069032371
-3,-2,40,1.0,1.008496255532601
-3,-2,40,1.5,1.0564873793367953
-3,-2,40,2.0,1.530168412089303
-3,-2,40,2.5,1.1690648062334723
-3,-2,40,3.0,1.4114620271831435
-3,-2,40,3.5,0.9988884298001002
-3,-2,40,4.0,1.3872596805887105
-3,-2,40,4.5,1.5187978777207396
-3,-2,40,5.0,1.246454465788813
-3,-2,50,0.5,0.8947246063679469
-3,-2,50,1.0,0.993377760451706
-3,-2,50,1.5,1.0989638927704328
-3,-2,50,2.0,1.1465942290657454
-3,-2,50,2.5,1.1925016456601247
-3,-2,50,3.0,0.9992005273044885
-3,-2,50,3.5,1.205266576853457
-3,-2,50,4.0,0.5647807278172257
-3,-2,50,4.5,1.1082117684201656
-3,-2,50,5.0,1.2068114378019121
-3,-2,60,0.5,0.8851323736609955
-3,-2,60,1.0,0.9824497383068137
-3,-2,60,1.5,1.0430711344302395
