x,y,theta,mag,J,min_J
-3,-3,0,0.5,1.0184330762346738,0.9586303147312896
-3,-3,0,1.0,0.9995115949215342,0.9982117878586474
-3,-3,0,1.5,0.9802346957708576,0.8690321755083938
-3,-3,0,2.0,0.9612160373398904,0.7387666499332325
-3,-3,0,2.5,0.9423721190250699,0.6085831976970464
-3,-3,0,3.0,0.9235888983425106,0.4784336832686913
-3,-3,0,3.5,0.9048227805295672,0.34829816322636886
-3,-3,0,4.0,0.8860617968910907,0.21817238573877784
-3,-3,0,4.5,0.8673181926408478,0.0880683460444216
-3,-3,0,5.0,0.848641924404167,-0.041971617940055106
-3,-3,10,0.5,1.0148980760318649,0.9560400746637402
-3,-3,10,1.0,0.9916910920964226,0.9514164720972147
-3,-3,10,1.5,0.9697398237604012,0.8573024092858614
-3,-3,10,2.0,0.948821965953685,0.7234581856650049
-3,-3,10,2.5,0.9268717441778742,0.5894330227519451
-3,-3,10,3.0,0.9049854042307023,0.4554346834457821
-3,-3,10,3.5,0.8831178855846655,0.32144380297491565
-3,-3,10,4.0,0.8619948779213487,0.18773887378425946
-3,-3,10,4.5,0.840238670929811,0.0538286418549735
-3,-3,10,5.0,0.818538416743173,-0.07999260701376674
-3,-3,20,0.5,1.01121253835241,0.9499566004558087
-3,-3,20,1.0,0.9886526707309854,0.9142796197933865
-3,-3,20,1.5,0.9637081289167782,0.8380674534270727
-3,-3,20,2.0,0.9398344647740063,0.724655214604816
-3,-3,20,2.5,0.915611623712517,0.5909279397355982
-3,-3,20,3.0,0.8914625067990462,0.4572312799891359
-3,-3,20,3.5,0.8673379336400058,0.3235446406978562
-3,-3,20,4.0,0.8432196057373178,0.1898639157400227
-3,-3,20,4.5,0.8191081502129327,0.05620200815654258
-3,-3,20,5.0,0.7950266017266698,-0.07739144607434892
-3,-3,30,0.5,1.00999877448586,0.9449813940549651
-3,-3,30,1.0,0.9854615874418803,0.8777380256602787
-3,-3,30,1.5,0.9595425861028751,0.7845913709526159
-3,-3,30,2.0,0.9334423494033943,0.690678750582944
-3,-3,30,2.5,0.907569797808869,0.5967533847892236
-3,-3,30,3.0,0.8817882856757986,0.4832193936846846
-3,-3,30,3.5,0.8560423699955755,0.3538545951322696
-3,-3,30,4.0,0.830307730340138,0.22449240321041475
-3,-3,30,4.5,0.8045766693149456,0.09513698438448613
-3,-3,30,5.0,0.7788544711701336,-0.03418907083111761
-3,-3,40,0.5,1.0088218851099993,0.9385750141510787
-3,-3,40,1.0,0.9837238957124449,0.846947161175068
-3,-3,40,1.5,0.9572842994542844,0.7387971415931576
-3,-3,40,2.0,0.9302410782365673,0.6296086581752168
-3,-3,40,2.5,0.9034735473892004,0.5204193044059481
-3,-3,40,3.0,0.8768237109560164,0.41122190844657336
-3,-3,40,3.5,0.8502271756764803,0.30202184736926024
-3,-3,40,4.0,0.8236531120094451,0.19282454161208437
-3,-3,40,4.5,0.7970868148572257,0.08363352715320584
-3,-3,40,5.0,0.7705231954908706,-0.025549314732513317
-3,-3,50,0.5,1.0103767784564752,0.9331093649379797
-3,-3,50,1.0,0.9840789499434337,0.8241586912867274
-3,-3,50,1.5,0.9574013420881187,0.7030630191108911
-3,-3,50,2.0,0.930400532258295,0.5818155777952991
-3,-3,50,2.5,0.9034978718825435,0.4606741048969655
-3,-3,50,3.0,0.8767552268866541,0.33953009849348437
-3,-3,50,3.5,0.8500918259925043,0.21838349387645975
-3,-3,50,4.0,0.8234693761644408,0.09723819075902483
-3,-3,50,4.5,0.7968671920556284,-0.02390252394414323
-3,-3,50,5.0,0.7702738988932538,-0.14503682915781138
-3,-3,60,0.5,1.0112355488941018,0.9258656141362464
-3,-3,60,1.0,0.9855837734673112,0.807903079195968
-3,-3,60,1.5,0.9601032076118654,0.6782700144853434
-3,-3,60,2.0,0.9338129893868091,0.5488346495597524
-3,-3,60,2.5,0.9077770785652772,0.4193464234008345
-3,-3,60,3.0,0.88168678746877,0.28992886713235666
-3,-3,60,3.5,0.855718423587823,0.1605123666494524
-3,-3,60,4.0,0.829818826270439,0.03109572206024671
-3,-3,60,4.5,0.8039599933012129,-0.09831893633226718
-3,-3,60,5.0,0.7781256051882559,-0.2277293173103051
-3,-3,70,0.5,1.0127230816504482,0.9183426556394466
-3,-3,70,1.0,0.9888414510689513,0.799148297418736
-3,-3,70,1.5,0.964501497141425,0.6654642521788775
-3,-3,70,2.0,0.9404302140575578,0.5315501278546836
-3,-3,70,2.5,0.9162840210736961,0.3977914711948983
-3,-3,70,3.0,0.8917979329538641,0.2639767299651576
-3,-3,70,3.5,0.8672178938838085,0.13020402432013772
-3,-3,70,4.0,0.8427405429927679,-0.0035585384309384308
-3,-3,70,4.5,0.8183400401062407,-0.13731826753884868
-3,-3,70,5.0,0.7939906335233097,-0.2710768657364197
-3,-3,80,0.5,1.0149631170452111,0.9107907818224039
-3,-3,80,1.0,0.9935938614233609,0.7984953605421576
-3,-3,80,1.5,0.971687375649595,0.6645153170530161
-3,-3,80,2.0,0.9495637589058592,0.5305446309895099
-3,-3,80,2.5,0.9274821699810532,0.3965504832646324
-3,-3,80,3.0,0.9056214105328875,0.2625331116463767
-3,-3,80,3.5,0.8835844500055926,0.12849915433161002
-3,-3,80,4.0,0.8619306090344282,-0.00547359518349207
-3,-3,80,4.5,0.8401229213322949,-0.13950461325943797
-3,-3,80,5.0,0.8180973117950544,-0.2736005149025823
-3,-3,90,0.5,1.0179913102798215,0.9034422736345261
-3,-3,90,1.0,0.9995580245927941,0.8060653841134414
-3,-3,90,1.5,0.9805924707973659,0.6758544588209833
-3,-3,90,2.0,0.9616269170019371,0.5456435335285224
-3,-3,90,2.5,0.9426613632065085,0.4154326082360643
-3,-3,90,3.0,0.9236958094110808,0.2852216829436048
-3,-3,90,3.5,0.9047302556156522,0.15501075765114503
-3,-3,90,4.0,0.8857647018202223,0.024799832358685825
-3,-3,90,4.5,0.8667991480247944,-0.10541109293377376
-3,-3,90,5.0,0.847833594229366,-0.23562201822623138
-3,-3,100,0.5,1.0216600192344967,0.8965059443011256
-3,-3,100,1.0,1.0068391578407418,0.821575307274616
-3,-3,100,1.5,0.9914643956717204,0.6991431986548008
-3,-3,100,2.0,0.975085661268192,0.5768359390192062
-3,-3,100,2.5,0.9589259854343462,0.4548874732190959
-3,-3,100,3.0,0.9478252529581741,0.3307347765413557
-3,-3,100,3.5,0.9314142628743315,0.20881876342252026
-3,-3,100,4.0,0.9162677682267398,0.0863202037491256
-3,-3,100,4.5,0.9002618796792894,-0.03580634232537444
-3,-3,100,5.0,0.884942581943202,-0.15832124637083475
-3,-3,110,0.5,1.025771044124027,0.8901633274350875
-3,-3,110,1.0,1.0139121060783443,0.844672577265682
-3,-3,110,1.5,1.0057953564307167,0.732773190022453
-3,-3,110,2.0,0.9939487975503133,0.6221291677984591
-3,-3,110,2.5,0.9820990221827571,0.5114031643596629
-3,-3,110,3.0,0.9708370104363953,0.40031922993074487
-3,-3,110,3.5,0.9594988704604289,0.28922527314016133
-3,-3,110,4.0,0.9480966189766068,0.1781228870974525
-3,-3,110,4.5,0.9366417085448766,0.06701102172664264
-3,-3,110,5.0,0.9251421303145309,-0.04411164667258094
-3,-3,120,0.5,1.0302147274127103,0.8846434654578271
-3,-3,120,1.0,1.0255867785606727,0.853464339265154
-3,-3,120,1.5,1.0178645566343494,0.7779745044580962
-3,-3,120,2.0,1.0110746555763899,0.68171404753236
-3,-3,120,2.5,1.004121326236779,0.5854265109894145
-3,-3,120,3.0,0.9970387014276693,0.48912011052478854
-3,-3,120,3.5,0.9898566619179718,0.3927887341570271
-3,-3,120,4.0,0.9825888661703925,0.2964249499420958
-3,-3,120,4.5,0.9752338350921307,0.20001956596250775
-3,-3,120,5.0,0.9677852520933412,0.10357340653916966
-3,-3,130,0.5,1.0336802033779118,0.8789674790529644
-3,-3,130,1.0,1.0346453483866938,0.8442214385557283
-3,-3,130,1.5,1.0318180342798589,0.8069254373262691
-3,-3,130,2.0,1.029467162679259,0.7526318974498918
-3,-3,130,2.5,1.0269100176425883,0.6740438530280949
-3,-3,130,3.0,1.0242000487149396,0.5954066971419816
-3,-3,130,3.5,1.021347714412764,0.5167033505057931
-3,-3,130,4.0,1.018345086465174,0.4379424747171039
-3,-3,130,4.5,1.0134036494875154,0.3578646651438516
-3,-3,130,5.0,1.0121810726280098,0.28236587035682303
-3,-3,140,0.5,1.03737660181893,0.8751010959227666
-3,-3,140,1.0,1.0426960839857553,0.8365701427190395
-3,-3,140,1.5,1.0458659589614567,0.7962107079208708
-3,-3,140,2.0,1.04801477154257,0.7546990309164624
-3,-3,140,2.5,1.049932126804929,0.7127208550163541
-3,-3,140,3.0,1.0516461617146367,0.6701274351534123
-3,-3,140,3.5,1.0506355032938388,0.611810083200767
-3,-3,140,4.0,1.0529206118738512,0.5843222764341215
-3,-3,140,4.5,1.0588492655663169,0.5440995037250023
-3,-3,140,5.0,1.0667199500900817,0.48888184267301527
-3,-3,150,0.5,1.0413007685642612,0.8726500490594833
-3,-3,150,1.0,1.0521335713088078,0.8321797682606545
-3,-3,150,1.5,1.059637747843211,0.789148651900218
-3,-3,150,2.0,1.0662374518927629,0.7449896238336796
-3,-3,150,2.5,1.072570806471915,0.7001068542988903
-3,-3,150,3.0,1.077032621808055,0.6427012302404331
-3,-3,150,3.5,1.0825310766347973,0.6065071582047333
-3,-3,150,4.0,1.093515376309739,0.5888029278421463
-3,-3,150,4.5,1.1065599039393699,0.5695113422794664
-3,-3,150,5.0,1.1140405859362166,0.5246605931265915
-3,-3,160,0.5,1.0473131012768646,0.8728882747559268
