x,y,theta,mag,J,min_J
-3,-3,0,0.5,1.1008898592192935,0.5261283665430536
-3,-3,0,1.0,0.955468764568975,0.5659849957054064
-3,-3,0,1.5,0.7004153749183768,-0.3511278933901991
-3,-3,0,2.0,0.5481791314160249,-1.0380364963943443
-3,-3,0,2.5,0.3931989811181076,-1.7244348856778409
-3,-3,0,3.0,0.15953015487588562,-2.7513025550884684
-3,-3,0,3.5,-0.010577250756483636,-3.547164980358449
-3,-3,0,4.0,-0.18054839758555907,-4.316399138168814
-3,-3,0,4.5,-0.3351630148249889,-5.02651730440372
-3,-3,0,5.0,-0.490148893925376,-5.7255190958879645
-3,-3,10,0.5,1.0730192923707271,0.5252667637546908
-3,-3,10,1.0,0.9010837282896701,0.5644503961640546
-3,-3,10,1.5,0.618936481961258,-0.4199668985030848
-3,-3,10,2.0,0.44027666947176847,-1.1289913027648921
-3,-3,10,2.5,0.2577367405951569,-1.8380693021903285
-3,-3,10,3.0,-0.00010702701748080412,-2.8783417328011485
-3,-3,10,3.5,-0.1976924584541373,-3.697414949419162
-3,-3,10,4.0,-0.39620701737010616,-4.490764622385444
-3,-3,10,4.5,-0.5787133845395689,-5.228710038498032
-3,-3,10,5.0,-0.7607625326573944,-5.950266335899929
-3,-3,20,0.5,1.0516071977777597,0.5221026574811563
-3,-3,20,1.0,0.8572400649709976,0.43996488461560473
-3,-3,20,1.5,0.5534663796177649,-0.42486927035305966
-3,-3,20,2.0,0.3536439340707166,-1.1326840365701614
-3,-3,20,2.5,0.1496544309507301,-1.843609157396478
-3,-3,20,3.0,-0.12429080922086808,-2.8730747518698356
-3,-3,20,3.5,-0.3422836185600319,-3.67812653522038
-3,-3,20,4.0,-0.5634553667170348,-4.482498417777708
-3,-3,20,4.5,-0.7724774753249309,-5.233534359932104
-3,-3,20,5.0,-0.9760619346051639,-5.955725985518334
-3,-3,30,0.5,1.0353919304755619,0.5173132984255604
-3,-3,30,1.0,0.825253429488394,0.21972000424119564
-3,-3,30,1.5,0.6137374303497908,-0.3065183299523939
-3,-3,30,2.0,0.29053764376260194,-1.0458793584550445
-3,-3,30,2.5,0.07311113887372833,-1.7401292454429227
-3,-3,30,3.0,-0.14497299278118714,-2.4322527827399516
-3,-3,30,3.5,-0.4454985246744311,-3.471225871422857
-3,-3,30,4.0,-0.6771315673460976,-4.258733761703579
-3,-3,30,4.5,-0.909389012634993,-5.0202585534332105
-3,-3,30,5.0,-1.1294998642865863,-5.741642585695123
