x,y,theta,mag,J,min_J,J9,min_J9,correlation_J_J9
-3,-3,0,0.5,1.0184330762346738,0.9586303147312896,1.1008898592192935,0.5261283665430536,0.8981951398798217
-3,-3,0,1.0,0.9995115949215342,0.9982117878586474,0.955468764568975,0.5659849957054064,0.35667241783485765
-3,-3,0,1.5,0.9802346957708576,0.8690321755083938,0.7004153749183768,-0.3511278933901991,0.30130577100212447
-3,-3,0,2.0,0.9612160373398904,0.7387666499332325,0.5481791314160249,-1.0380364963943443,0.4520269519690571
-3,-3,0,2.5,0.9423721190250699,0.6085831976970464,0.3931989811181076,-1.7244348856778409,0.5246719269831329
-3,-3,0,3.0,0.9235888983425106,0.4784336832686913,0.15953015487588562,-2.7513025550884684,0.5379577361836403
-3,-3,0,3.5,0.9048227805295672,0.34829816322636886,-0.010577250756483636,-3.547164980358449,0.5752550653763195
-3,-3,0,4.0,0.8860617968910907,0.21817238573877784,-0.18054839758555907,-4.316399138168814,0.6045043477180061
-3,-3,0,4.5,0.8673181926408478,0.0880683460444216,-0.3351630148249889,-5.02651730440372,0.6266535069823398
-3,-3,0,5.0,0.848641924404167,-0.041971617940055106,-0.490148893925376,-5.7255190958879645,0.6436304787882267
-3,-3,10,0.5,1.0148980760318649,0.9560400746637402,1.0730192923707271,0.5252667637546908,0.8861049582879656
-3,-3,10,1.0,0.9916910920964226,0.9514164720972147,0.9010837282896701,0.5644503961640546,0.16582975136005712
-3,-3,10,1.5,0.9697398237604012,0.8573024092858614,0.618936481961258,-0.4199668985030848,0.42670343016881307
-3,-3,10,2.0,0.948821965953685,0.7234581856650049,0.44027666947176847,-1.1289913027648921,0.5361397838748926
-3,-3,10,2.5,0.9268717441778742,0.5894330227519451,0.2577367405951569,-1.8380693021903285,0.5861304679930461
-3,-3,10,3.0,0.9049854042307023,0.4554346834457821,-0.00010702701748080412,-2.8783417328011485,0.5912107672883562
-3,-3,10,3.5,0.8831178855846655,0.32144380297491565,-0.1976924584541373,-3.697414949419162,0.6218421283235224
-3,-3,10,4.0,0.8619948779213487,0.18773887378425946,-0.39620701737010616,-4.490764622385444,0.6451317883253561
-3,-3,10,4.5,0.840238670929811,0.0538286418549735,-0.5787133845395689,-5.228710038498032,0.6625822936146168
-3,-3,10,5.0,0.818538416743173,-0.07999260701376674,-0.7607625326573944,-5.950266335899929,0.6757709130092185
-3,-3,20,0.5,1.01121253835241,0.9499566004558087,1.0516071977777597,0.5221026574811563,0.8852536937937607
-3,-3,20,1.0,0.9886526707309854,0.9142796197933865,0.8572400649709976,0.43996488461560473,0.34571243061692886
-3,-3,20,1.5,0.9637081289167782,0.8380674534270727,0.5534663796177649,-0.42486927035305966,0.4993179611827021
-3,-3,20,2.0,0.9398344647740063,0.724655214604816,0.3536439340707166,-1.1326840365701614,0.5875068489795461
-3,-3,20,2.5,0.915611623712517,0.5909279397355982,0.1496544309507301,-1.843609157396478,0.6237815844809459
-3,-3,20,3.0,0.8914625067990462,0.4572312799891359,-0.12429080922086808,-2.8730747518698356,0.6240564516489767
-3,-3,20,3.5,0.8673379336400058,0.3235446406978562,-0.3422836185600319,-3.67812653522038,0.6487407366077057
-3,-3,20,4.0,0.8432196057373178,0.1898639157400227,-0.5634553667170348,-4.482498417777708,0.6696823765725026
-3,-3,20,4.5,0.8191081502129327,0.05620200815654258,-0.7724774753249309,-5.233534359932104,0.684549190221099
-3,-3,20,5.0,0.7950266017266698,-0.07739144607434892,-0.9760619346051639,-5.955725985518334,0.695393791692054
-3,-3,30,0.5,1.00999877448586,0.9449813940549651,1.0353919304755619,0.5173132984255604,0.8763966700308908
-3,-3,30,1.0,0.9854615874418803,0.8777380256602787,0.825253429488394,0.21972000424119564,0.4579685528442313
-3,-3,30,1.5,0.9595425861028751,0.7845913709526159,0.6137374303497908,-0.3065183299523939,0.6095235320890124
-3,-3,30,2.0,0.9334423494033943,0.690678750582944,0.29053764376260194,-1.0458793584550445,0.617081253120451
-3,-3,30,2.5,0.907569797808869,0.5967533847892236,0.07311113887372833,-1.7401292454429227,0.6490877394882886
-3,-3,30,3.0,0.8817882856757986,0.4832193936846846,-0.14497299278118714,-2.4322527827399516,0.6696399020554299
-3,-3,30,3.5,0.8560423699955755,0.3538545951322696,-0.4454985246744311,-3.471225871422857,0.6634725079195757
-3,-3,30,4.0,0.830307730340138,0.22449240321041475,-0.6771315673460976,-4.258733761703579,0.6823284581694917
-3,-3,30,4.5,0.8045766693149456,0.09513698438448613,-0.909389012634993,-5.0202585534332105,0.6961587089446672
-3,-3,30,5.0,0.7788544711701336,-0.03418907083111761,-1.1294998642865863,-5.741642585695123,0.7060972824749862
-3,-3,40,0.5,1.0088218851099993,0.9385750141510787,0.9411559784038058,-0.06860645324427539,0.6003963712524013
-3,-3,40,1.0,0.9837238957124449,0.846947161175068,0.8060541976632055,0.03140054906897921,0.5243346386335567
-3,-3,40,1.5,0.9572842994542844,0.7387971415931576,0.585144477049266,-0.588869265098506,0.6209696769653171
-3,-3,40,2.0,0.9302410782365673,0.6296086581752168,0.2553672832891629,-1.3293938637572367,0.6290744159977119
-3,-3,40,2.5,0.9034735473892004,0.5204193044059481,0.03011100424992652,-1.9555695430273599,0.6644005924804682
-3,-3,40,3.0,0.8768237109560164,0.41122190844657336,-0.19826688910305867,-2.5815169182990743,0.6794495762432655
-3,-3,40,3.5,0.8502271756764803,0.30202184736926024,-0.424353235369872,-3.2050018429488536,0.6927612940423078
-3,-3,40,4.0,0.8236531120094451,0.19282454161208437,-0.7350964917698054,-3.922050207501821,0.6854689995557186
-3,-3,40,4.5,0.7970868148572257,0.08363352715320584,-0.9718851996371897,-4.570764596416518,0.6990336154403222
-3,-3,40,5.0,0.7705231954908706,-0.025549314732513317,-1.2129339628817226,-5.28893958897188,0.7095128021662649
-3,-3,50,0.5,1.0103767784564752,0.9331093649379797,0.9449218434717984,-0.06004799865622018,0.6385621445470834
-3,-3,50,1.0,0.9840789499434337,0.8241586912867274,0.8001305613824697,-0.11936939899965794,0.5668333376791909
-3,-3,50,1.5,0.9574013420881187,0.7030630191108911,0.5766496144014547,-0.8147165394646584,0.6276073124156444
-3,-3,50,2.0,0.930400532258295,0.5818155777952991,0.35271609140437366,-1.5102833326594571,0.6707129731450261
-3,-3,50,2.5,0.9034978718825435,0.4606741048969655,0.01863808911005016,-2.327069543757888,0.6667828935700377
-3,-3,50,3.0,0.8767552268866541,0.33953009849348437,-0.20803667732775222,-3.0278816722356963,0.6862769324728617
-3,-3,50,3.5,0.8500918259925043,0.21838349387645975,-0.4386061534308407,-3.7277353933573187,0.6957660361239301
-3,-3,50,4.0,0.8234693761644408,0.09723819075902483,-0.6666880885088358,-4.424826492053982,0.7040892283217488
-3,-3,50,4.5,0.7968671920556284,-0.02390252394414323,-0.9698138125383722,-5.206569289195386,0.6953367026409552
-3,-3,50,5.0,0.7702738988932538,-0.14503682915781138,-1.2097945106435544,-5.925274205316445,0.7050552850391418
-3,-3,60,0.5,1.0112355488941018,0.9258656141362464,0.9584789898982904,-0.03553468222495793,0.6888551259983843
-3,-3,60,1.0,0.9855837734673112,0.807903079195968,0.8074818956479927,-0.22820400762989917,0.6132242362859716
-3,-3,60,1.5,0.9601032076118654,0.6782700144853434,0.5883921500400379,-0.9772831984989566,0.6299701845104729
-3,-3,60,2.0,0.9338129893868091,0.5488346495597524,0.36865283742637667,-1.7269044934949647,0.6663243959995463
-3,-3,60,2.5,0.9077770785652772,0.4193464234008345,0.14869891559820644,-2.476569178569426,0.6869982910400122
-3,-3,60,3.0,0.88168678746877,0.28992886713235666,-0.17980851579552987,-3.3459792742670835,0.6811708596490669
-3,-3,60,3.5,0.855718423587823,0.1605123666494524,-0.4030044159032261,-4.098193053428089,0.6955961220164463
-3,-3,60,4.0,0.829818826270439,0.03109572206024671,-0.6254527228691797,-4.853292305256696,0.7039097127506658
-3,-3,60,4.5,0.8039599933012129,-0.09831893633226718,-0.8506456110901119,-5.605798621599119,0.7087147899447878
-3,-3,60,5.0,0.7781256051882559,-0.2277293173103051,-1.0738408367383907,-6.3546309004022765,0.7132535262340778
-3,-3,70,0.5,1.0127230816504482,0.9183426556394466,0.9841893515030059,0.0011818179961670275,0.7443577945964028
-3,-3,70,1.0,0.9888414510689513,0.799148297418736,0.7477750606417658,-0.38141813092614185,0.5595482998387158
-3,-3,70,1.5,0.964501497141425,0.6654642521788775,0.6195943941466971,-1.0720784589130468,0.6398632910430877
-3,-3,70,2.0,0.9404302140575578,0.5315501278546836,0.4109597396878204,-1.8526688833608018,0.6606666966243276
-3,-3,70,2.5,0.9162840210736961,0.3977914711948983,0.20194303901225458,-2.633582495896904,0.6786730037658449
-3,-3,70,3.0,0.8917979329538641,0.2639767299651576,-0.00725937823519552,-3.4145863843405073,0.6910590741087033
-3,-3,70,3.5,0.8672178938838085,0.13020402432013772,-0.2165444529119308,-4.195573149469389,0.7000607876146124
-3,-3,70,4.0,0.8427405429927679,-0.0035585384309384308,-0.5329378946561489,-5.095464198171484,0.693980102739821
-3,-3,70,4.5,0.8183400401062407,-0.13731826753884868,-0.7440372253746342,-5.8779714041008,0.7021044709356644
-3,-3,70,5.0,0.7939906335233097,-0.2710768657364197,-0.9558221457797877,-6.660804630115809,0.7081599328000248
-3,-3,80,0.5,1.0149631170452111,0.9107907818224039,1.0195451925867203,0.06165052024760223,0.7967299664742696
-3,-3,80,1.0,0.9935938614233609,0.7984953605421576,0.8086072527753295,-0.3627234206173004,0.6439549541666773
-3,-3,80,1.5,0.971687375649595,0.6645153170530161,0.5995555618338548,-1.1722730786006899,0.6198638490815053
-3,-3,80,2.0,0.9495637589058592,0.5305446309895099,0.3968684381719998,-1.9747648808367706,0.6335696190780067
-3,-3,80,2.5,0.9274821699810532,0.3965504832646324,0.28564670166574585,-2.6731311270232365,0.6746805081977446
-3,-3,80,3.0,0.9056214105328875,0.2625331116463767,0.09391320310734005,-3.4614369942778844,0.6835594630341385
-3,-3,80,3.5,0.8835844500055926,0.12849915433161002,-0.09797041355802011,-4.249869024755155,0.6904150948107011
-3,-3,80,4.0,0.8619306090344282,-0.00547359518349207,-0.2899789075826915,-5.038397595022838,0.6959722350707133
-3,-3,80,4.5,0.8401229213322949,-0.13950461325943797,-0.48208191179084103,-5.826986198577748,0.7005517173696569
-3,-3,80,5.0,0.8180973117950544,-0.2736005149025823,-0.6742508331823472,-6.615601461663264,0.7043904883351818
-3,-3,90,0.5,1.0179913102798215,0.9034422736345261,1.0524609863251477,0.14947604378379978,0.8700121206923767
-3,-3,90,1.0,0.9995580245927941,0.8060653841134414,0.8830618195748716,-0.2967157128349005,0.7604828242881269
-3,-3,90,1.5,0.9805924707973659,0.6758544588209833,0.7136626528245864,-1.0692071496291673,0.6941891861682488
-3,-3,90,2.0,0.9616269170019371,0.5456435335285224,0.5442634860743372,-1.8416985864233981,0.6835969628858282
-3,-3,90,2.5,0.9426613632065085,0.4154326082360643,0.3748643193240673,-2.6141900232176596,0.6856209993468411
-3,-3,90,3.0,0.9236958094110808,0.2852216829436048,0.205465152573797,-3.386681460011898,0.6896880361732519
-3,-3,90,3.5,0.9047302556156522,0.15501075765114503,0.03606598582351184,-4.159172896806165,0.6935926255217288
-3,-3,90,4.0,0.8857647018202223,0.024799832358685825,-0.13333318092674568,-4.931664333600412,0.6969388723012765
-3,-3,90,4.5,0.8667991480247944,-0.10541109293377376,-0.30273234767700913,-5.704155770394679,0.6997352877014452
-3,-3,90,5.0,0.847833594229366,-0.23562201822623138,-0.4721315144272943,-6.476647207188941,0.7020699847824969
-3,-3,100,0.5,1.0216600192344967,0.8965059443011256,1.086557427196004,0.22948837292864926,0.9162300217787807
-3,-3,100,1.0,1.0068391578407418,0.821575307274616,0.9441905409462008,-0.21245653042003748,0.8512844284771749
-3,-3,100,1.5,0.9914643956717204,0.6991431986548008,0.791730092638299,-0.9583339303822224,0.7287540265149497
-3,-3,100,2.0,0.975085661268192,0.5768359390192062,0.6293394270128705,-1.7153645720424435,0.6749286995034657
-3,-3,100,2.5,0.9589259854343462,0.4548874732190959,0.46128989250561425,-2.4786360379021577,0.6520040585375112
