x,y,theta,mag,J,min_J
-3,-3,0,0.5,0.9142714912593901,0.9142714912593901
-3,-3,0,1.0,0.9883353686999377,0.9883353686999377
-3,-3,0,1.5,1.0741784419615419,0.9528521972271453
-3,-3,0,2.0,1.1608527164885734,0.8964403337661347
-3,-3,0,2.5,1.241829819664026,0.8289176204757397
-3,-3,0,3.0,1.3162237060848692,0.767231499441553
-3,-3,0,3.5,1.3885772801428073,0.6599198099084802
-3,-3,0,4.0,1.4475834550876732,0.5994193615044371
-3,-3,0,4.5,1.5023922640608576,0.49231721183658306
-3,-3,0,5.0,1.49971068256164,0.3912524351925797
-3,-3,10,0.5,0.8934123177962163,0.8934123177962163
-3,-3,10,1.0,0.993262545442933,0.993262545442933
-3,-3,10,1.5,1.033308632851964,0.9290248700039967
-3,-3,10,2.0,1.2009362514488684,0.8921604756985285
-3,-3,10,2.5,1.265537800993641,0.671720108096006
-3,-3,10,3.0,1.1843150581889679,0.6314224541410801
-3,-3,10,3.5,1.546736555028494,0.6899620412645912
-3,-3,10,4.0,1.5681615787151009,0.5315339463519878
-3,-3,10,4.5,1.35923455389937,0.42220465979409594
-3,-3,10,5.0,1.9338092448029784,0.4738984064153446
-3,-3,20,0.5,0.9014157116242005,0.9014157116242005
-3,-3,20,1.0,0.9931070473242846,0.958655330672858
-3,-3,20,1.5,1.0794471590736103,0.9262822408035315
-3,-3,20,2.0,1.2184847537784114,0.9070661745081429
-3,-3,20,2.5,1.1930311276525818,0.8205848840012406
-3,-3,20,3.0,1.4533312811823154,0.7665724140110184
-3,-3,20,3.5,1.48798666257736,0.7774603414881706
-3,-3,20,4.0,1.6551995381001547,0.4580644853423087
-3,-3,20,4.5,1.82362203924533,0.5999221886791025
-3,-3,20,5.0,1.7317896054237734,0.359295970149884
-3,-3,30,0.5,0.9230096744665396,0.9230096744665396
-3,-3,30,1.0,0.9940601183209306,0.9371950172811816
-3,-3,30,1.5,1.089187638482746,0.9008102194016461
-3,-3,30,2.0,1.205338549887149,0.8874861858552997
-3,-3,30,2.5,1.2720340157501553,0.8945270904011634
-3,-3,30,3.0,1.2871836868056645,0.752769474078856
-3,-3,30,3.5,1.519559171307765,0.7029580127720071
-3,-3,30,4.0,1.9191723678898784,0.6736882811484646
-3,-3,30,4.5,1.938928870473367,0.5820470475560211
-3,-3,30,5.0,1.8412570385020741,0.5655724686305947
-3,-3,40,0.5,0.9019401461425303,0.9019401461425303
-3,-3,40,1.0,0.9758959010001724,0.938158348925893
-3,-3,40,1.5,1.0564128467795901,0.8997499092655692
-3,-3,40,2.0,1.1442988004860801,0.8660741817501318
-3,-3,40,2.5,1.2335459670363504,0.831365546477956
-3,-3,40,3.0,1.3481236196658948,0.7808852413900019
-3,-3,40,3.5,1.445528180749048,0.7346147491862534
-3,-3,40,4.0,1.5685000266712037,0.6727422078843446
-3,-3,40,4.5,1.652275288668134,0.6213732690294533
-3,-3,40,5.0,1.7348523870318617,0.5716468592539741
-3,-3,50,0.5,0.8790220360156206,0.863138349400782
-3,-3,50,1.0,0.9495710065248442,0.8827873343282623
-3,-3,50,1.5,1.065070524652968,0.8267916229666757
-3,-3,50,2.0,1.1208476320344545,0.7648227525898861
-3,-3,50,2.5,1.12693362045643,0.7632888836139666
-3,-3,50,3.0,1.2824047785707156,0.6766617957496954
-3,-3,50,3.5,1.517505244955915,0.555821277680175
-3,-3,50,4.0,1.604568178600659,0.4238193818377559
-3,-3,50,4.5,1.3601686579439658,0.0831273031557478
-3,-3,50,5.0,1.282151269191689,0.042128002314382296
-3,-3,60,0.5,0.8507938495744963,0.8507938495744963
-3,-3,60,1.0,0.9524078254453715,0.8834045823436274
-3,-3,60,1.5,0.9883417585768569,0.8591596894968847
-3,-3,60,2.0,1.101378472076427,0.7154220260171478
-3,-3,60,2.5,1.2018067424901542,0.6301548205032387
-3,-3,60,3.0,1.1018340701446925,0.6893687989125997
-3,-3,60,3.5,1.3521939574978497,0.4427522428242255
-3,-3,60,4.0,1.1851061773462719,0.1637314418406683
-3,-3,60,4.5,1.1633047465862874,0.48358764144988897
-3,-3,60,5.0,1.14769274826817,0.06006803908009059
-3,-3,70,0.5,0.8416364019772664,0.8416364019772664
-3,-3,70,1.0,0.9332732057541833,0.8995403030698511
-3,-3,70,1.5,0.9528787717232523,0.7746533766964994
-3,-3,70,2.0,1.0459146833611668,0.7038018647276723
-3,-3,70,2.5,1.0138440220736835,0.6207455461979797
-3,-3,70,3.0,1.2450912593615686,0.44234623185201455
-3,-3,70,3.5,1.0005595617585785,0.5456503721514269
-3,-3,70,4.0,0.9203099536153049,0.167993990598998
-3,-3,70,4.5,0.9846728122225106,0.079209066238934
-3,-3,70,5.0,0.8477634537753829,-0.05371778608119724
