x,y,theta,mag,J
-3,-3,0,0.5,0.9502192195635192
-3,-3,0,1.0,0.9973697301838353
-3,-3,0,1.5,1.0450884262013567
-3,-3,0,2.0,1.0928803950598687
-3,-3,0,2.5,1.1404762133880402
-3,-3,0,3.0,1.187901595195374
-3,-3,0,3.5,1.2357073360770179
-3,-3,0,4.0,1.2824560865844115
-3,-3,0,4.5,1.3294981921095004
-3,-3,0,5.0,1.3764886582354343
-3,-3,10,0.5,0.9460948387103437
-3,-3,10,1.0,0.9875421874847113
-3,-3,10,1.5,1.0310209546525846
-3,-3,10,2.0,1.074716165518928
-3,-3,10,2.5,1.1176611872553182
-3,-3,10,3.0,1.1607729135554579
-3,-3,10,3.5,1.2039751895288668
-3,-3,10,4.0,1.2461719960080053
-3,-3,10,4.5,1.2891172656089487
-3,-3,10,5.0,1.3316096244040132
-3,-3,20,0.5,0.9393971189768503
-3,-3,20,1.0,0.976763318433105
-3,-3,20,1.5,1.014154564953878
-3,-3,20,2.0,1.0515952601491243
-3,-3,20,2.5,1.0891293368630293
-3,-3,20,3.0,1.126294365559393
-3,-3,20,3.5,1.1634001697142853
-3,-3,20,4.0,1.2003820026691332
-3,-3,20,4.5,1.2371142435085811
-3,-3,20,5.0,1.2738337288931596
-3,-3,30,0.5,0.9336582363019948
-3,-3,30,1.0,0.963353072664521
-3,-3,30,1.5,0.9935459757423177
-3,-3,30,2.0,1.024071235712635
-3,-3,30,2.5,1.0545258306160217
-3,-3,30,3.0,1.0848206104098082
-3,-3,30,3.5,1.1149801135604795
-3,-3,30,4.0,1.1454735736512813
-3,-3,30,4.5,1.1750790076766156
-3,-3,30,5.0,1.204911941258617
-3,-3,40,0.5,0.9258810636989534
-3,-3,40,1.0,0.9477357180331538
-3,-3,40,1.5,0.9700613245335528
-3,-3,40,2.0,0.9926278366803983
-3,-3,40,2.5,1.0152896079163334
-3,-3,40,3.0,1.0378149170253665
-3,-3,40,3.5,1.0602140675110252
-3,-3,40,4.0,1.0825081955805966
-3,-3,40,4.5,1.1050971255180317
-3,-3,40,5.0,1.126943739329379
-3,-3,50,0.5,0.917932933991069
-3,-3,50,1.0,0.930877797378107
-3,-3,50,1.5,0.9443700620564295
-3,-3,50,2.0,0.9586226759036577
-3,-3,50,2.5,0.9725833700504418
-3,-3,50,3.0,0.9866627101113016
-3,-3,50,3.5,1.0006399262239043
-3,-3,50,4.0,1.0145217302551468
-3,-3,50,4.5,1.0283187914530527
-3,-3,50,5.0,1.0420630257095524
-3,-3,60,0.5,0.9091797984629286
-3,-3,60,1.0,0.9130639378682482
-3,-3,60,1.5,0.9180759542678656
-3,-3,60,2.0,0.9226452447150878
-3,-3,60,2.5,0.9278749998921539
-3,-3,60,3.0,0.93286874546881
-3,-3,60,3.5,0.9379924289279706
-3,-3,60,4.0,0.9430480542615014
-3,-3,60,4.5,0.9480370237971395
-3,-3,60,5.0,0.9529634039299104
-3,-3,70,0.5,0.9002016841372157
-3,-3,70,1.0,0.8960147104865945
-3,-3,70,1.5,0.8909755311368805
-3,-3,70,2.0,0.8869145943952221
-3,-3,70,2.5,0.8827692878206962
-3,-3,70,3.0,0.8782341992588945
-3,-3,70,3.5,0.8742796245489243
-3,-3,70,4.0,0.8703054514289288
-3,-3,70,4.5,0.8661624201041614
-3,-3,70,5.0,0.8621292472833559
-3,-3,80,0.5,0.8911558672526918
-3,-3,80,1.0,0.8783964866807374
-3,-3,80,1.5,0.865482831213338
-3,-3,80,2.0,0.852440496365922
-3,-3,80,2.5,0.8384088574619437
-3,-3,80,3.0,0.8254267421165798
-3,-3,80,3.5,0.8124091575898751
-3,-3,80,4.0,0.7993447502046207
-3,-3,80,4.5,0.7862467056229583
-3,-3,80,5.0,0.7724636654342893
-3,-3,90,0.5,0.882600869423241
-3,-3,90,1.0,0.8612807397627193
-3,-3,90,1.5,0.8399441999270227
-3,-3,90,2.0,0.8186076600913356
-3,-3,90,2.5,0.7972711202556404
-3,-3,90,3.0,0.7759345804199462
-3,-3,90,3.5,0.7545980405842561
-3,-3,90,4.0,0.733261500748563
-3,-3,90,4.5,0.7119249609128699
-3,-3,90,5.0,0.6905884210771758
-3,-3,100,0.5,0.8747172217104511
-3,-3,100,1.0,0.8455356694354129
-3,-3,100,1.5,0.816383276852294
-3,-3,100,2.0,0.7872928808938855
-3,-3,100,2.5,0.7582990395831734
-3,-3,100,3.0,0.7284737163382798
-3,-3,100,3.5,0.700189496765801
-3,-3,100,4.0,0.6707665902050375
-3,-3,100,4.5,0.6413056082786934
-3,-3,100,5.0,0.6118498942972151
-3,-3,110,0.5,0.867855123218313
-3,-3,110,1.0,0.8316283748538464
-3,-3,110,1.5,0.7948908280427752
-3,-3,110,2.0,0.7591851398787758
-3,-3,110,2.5,0.7225664043051235
-3,-3,110,3.0,0.687264526438944
-3,-3,110,3.5,0.6523082678568614
-3,-3,110,4.0,0.6136428093668014
-3,-3,110,4.5,0.5804066710381225
-3,-3,110,5.0,0.5432271657322204
-3,-3,120,0.5,0.8619762957872363
-3,-3,120,1.0,0.8191758223225757
-3,-3,120,1.5,0.7776139371715018
-3,-3,120,2.0,0.735691219810105
-3,-3,120,2.5,0.6950442508025529
-3,-3,120,3.0,0.6491270920107348
-3,-3,120,3.5,0.6089469068405123
-3,-3,120,4.0,0.5640657838826542
-3,-3,120,4.5,0.5137862487272442
-3,-3,120,5.0,0.4704891279756567
-3,-3,130,0.5,0.8573863200368314
-3,-3,130,1.0,0.8110704232238072
-3,-3,130,1.5,0.7636273928115336
-3,-3,130,2.0,0.718502240063127
-3,-3,130,2.5,0.670744793433608
-3,-3,130,3.0,0.6205010029545296
-3,-3,130,3.5,0.5640519328641855
-3,-3,130,4.0,0.5156458055862828
-3,-3,130,4.5,0.4658356126678261
-3,-3,130,5.0,0.4344323840957834
-3,-3,140,0.5,0.8540058818303612
-3,-3,140,1.0,0.8039353522478384
-3,-3,140,1.5,0.7549979934827523
-3,-3,140,2.0,0.7048826398851463
-3,-3,140,2.5,0.6508240877910118
-3,-3,140,3.0,0.5899718165703214
-3,-3,140,3.5,0.5329488964241772
-3,-3,140,4.0,0.4918972049090927
-3,-3,140,4.5,0.46297320746042014
-3,-3,140,5.0,0.4332678158473563
-3,-3,150,0.5,0.8524233304384049
-3,-3,150,1.0,0.8002063345338956
-3,-3,150,1.5,0.7503756336473119
-3,-3,150,2.0,0.6959909239372494
-3,-3,150,2.5,0.6324412330052692
-3,-3,150,3.0,0.5772750299238871
-3,-3,150,3.5,0.5263487725114614
-3,-3,150,4.0,0.49929107959614333
-3,-3,150,4.5,0.4715989474536063
-3,-3,150,5.0,0.43220561160120435
-3,-3,160,0.5,0.8522651216546964
-3,-3,160,1.0,0.8003228630475099
-3,-3,160,1.5,0.7462611239916015
-3,-3,160,2.0,0.6934525054664931
-3,-3,160,2.5,0.6288075071086449
-3,-3,160,3.0,0.5684076024085287
-3,-3,160,3.5,0.5390326125144158
-3,-3,160,4.0,0.5145131345784407
-3,-3,160,4.5,0.4847314165858884
-3,-3,160,5.0,0.4317205741879119
-3,-3,170,0.5,0.8545335039538821
-3,-3,170,1.0,0.8033004740845251
-3,-3,170,1.5,0.7500071061368789
-3,-3,170,2.0,0.6978576637579365
-3,-3,170,2.5,0.6349550753732335
-3,-3,170,3.0,0.5811190613000585
-3,-3,170,3.5,0.5578990987986201
-3,-3,170,4.0,0.5369564369386816
-3,-3,170,4.5,0.5017653507231593
-3,-3,170,5.0,0.43301610251574946
-3,-3,180,0.5,0.8560283427936927
-3,-3,180,1.0,0.8092173892680582
-3,-3,180,1.5,0.7583035706643418
-3,-3,180,2.0,0.7086386893132506
-3,-3,180,2.5,0.6483888341445863
-3,-3,180,3.0,0.597950805012176
-3,-3,180,3.5,0.5810535030882077
-3,-3,180,4.0,0.5635113024256965
-3,-3,180,4.5,0.5218351356144838
-3,-3,180,5.0,0.4639213340726348
-3,-3,190,0.5,0.860728497201849
