x,y,theta,mag,J
-3,-3,0,0.5,0.9502192195635192
-3,-3,0,1.0,0.9957595109261077
-3,-3,0,1.5,0.8613496569541941
-3,-3,0,2.0,0.7282342015498171
-3,-3,0,2.5,0.5950154190925367
-3,-3,0,3.0,0.46173270229527685
-3,-3,0,3.5,0.32923447947839124
-3,-3,0,4.0,0.19500282354395937
-3,-3,0,4.5,0.061484656689225536
-3,-3,0,5.0,-0.0720344494074423
-3,-3,10,0.5,0.9460948387103437
-3,-3,10,1.0,0.9458895702075486
-3,-3,10,1.5,0.8474654676724891
-3,-3,10,2.0,0.7099138596398581
-3,-3,10,2.5,0.5720267918069936
-3,-3,10,3.0,0.4343839691766197
-3,-3,10,3.5,0.29732683997967835
-3,-3,10,4.0,0.15848305613686653
-3,-3,10,4.5,0.02068857514309219
-3,-3,10,5.0,-0.11736407995608954
-3,-3,20,0.5,0.9393971189768503
-3,-3,20,1.0,0.9032574164570475
-3,-3,20,1.5,0.8217011015368535
-3,-3,20,2.0,0.7086292844360467
-3,-3,20,2.5,0.5705660818435981
-3,-3,20,3.0,0.4323968748028132
-3,-3,20,3.5,0.2943487504088661
-3,-3,20,4.0,0.15610851123083058
-3,-3,20,4.5,0.01764467873113197
-3,-3,20,5.0,-0.12074452514278142
-3,-3,30,0.5,0.9336582363019948
-3,-3,30,1.0,0.8629982627055461
-3,-3,30,1.5,0.7607301263790203
-3,-3,30,2.0,0.6582854957364019
-3,-3,30,2.5,0.5561161145367497
-3,-3,30,3.0,0.45394263439326993
-3,-3,30,3.5,0.3211408133694701
-3,-3,30,4.0,0.18755598947706337
-3,-3,30,4.5,0.05247190463626972
-3,-3,30,5.0,-0.08207621681512298
-3,-3,40,0.5,0.9258810636989534
-3,-3,40,1.0,0.8283884360166449
-3,-3,40,1.5,0.7087001423144083
-3,-3,40,2.0,0.5890241309880992
-3,-3,40,2.5,0.4695615373875344
-3,-3,40,3.0,0.35009533989305447
-3,-3,40,3.5,0.23063362336711069
-3,-3,40,4.0,0.11117216681883312
-3,-3,40,4.5,-0.00826588955794158
-3,-3,40,5.0,-0.12767667812052813
-3,-3,50,0.5,0.917932933991069
-3,-3,50,1.0,0.8008501695151684
-3,-3,50,1.5,0.6676004748635549
-3,-3,50,2.0,0.5344582568529532
-3,-3,50,2.5,0.401132723879335
-3,-3,50,3.0,0.2679970769694488
-3,-3,50,3.5,0.13486640424562762
-3,-3,50,4.0,0.0017444143208854707
-3,-3,50,4.5,-0.13137002784851212
-3,-3,50,5.0,-0.2644928110375813
-3,-3,60,0.5,0.9091797984629286
-3,-3,60,1.0,0.7815503651006734
-3,-3,60,1.5,0.6387313725302426
-3,-3,60,2.0,0.49583998019814546
-3,-3,60,2.5,0.3530380954977987
-3,-3,60,3.0,0.21013245610042758
-3,-3,60,3.5,0.0673670623869971
-3,-3,60,4.0,-0.07539127206410598
-3,-3,60,4.5,-0.21813960390668685
-3,-3,60,5.0,-0.360877513102314
-3,-3,70,0.5,0.9002016841372157
-3,-3,70,1.0,0.7713860279779734
-3,-3,70,1.5,0.6227830307236419
-3,-3,70,2.0,0.47465394592600046
-3,-3,70,2.5,0.32652629553846646
-3,-3,70,3.0,0.17835169281653007
-3,-3,70,3.5,0.03022953600623616
-3,-3,70,4.0,-0.11789902831629975
-3,-3,70,4.5,-0.2659527311054903
-3,-3,70,5.0,-0.4140109206639667
-3,-3,80,0.5,0.8911558672526918
-3,-3,80,1.0,0.7698762788909904
-3,-3,80,1.5,0.6207697870586066
-3,-3,80,2.0,0.47165462361723437
-3,-3,80,2.5,0.32243944758860654
-3,-3,80,3.0,0.17349263063262083
-3,-3,80,3.5,0.02455652029518858
-3,-3,80,4.0,-0.1243759936220843
-3,-3,80,4.5,-0.27331456693554
-3,-3,80,5.0,-0.4222328731467718
-3,-3,90,0.5,0.882600869423241
-3,-3,90,1.0,0.7773253952445961
-3,-3,90,1.5,0.6319690563678073
-3,-3,90,2.0,0.4866127174910195
-3,-3,90,2.5,0.3412563786142309
-3,-3,90,3.0,0.1959000397374422
-3,-3,90,3.5,0.050543700860653976
-3,-3,90,4.0,-0.09481263801613475
-3,-3,90,4.5,-0.24016897689292216
-3,-3,90,5.0,-0.3855253157697106
-3,-3,100,0.5,0.8747172217104511
-3,-3,100,1.0,0.7936986597233813
-3,-3,100,1.5,0.6564906183773505
-3,-3,100,2.0,0.5192657486298412
-3,-3,100,2.5,0.38203419138519357
-3,-3,100,3.0,0.24456642135928022
-3,-3,100,3.5,0.1074170796988811
-3,-3,100,4.0,-0.030006307605249
-3,-3,100,4.5,-0.16750887404575948
-3,-3,100,5.0,-0.30481168826678917
-3,-3,110,0.5,0.867855123218313
-3,-3,110,1.0,0.8183922400175837
-3,-3,110,1.5,0.6930531119903375
-3,-3,110,2.0,0.5679866777402529
-3,-3,110,2.5,0.4426838239425217
-3,-3,110,3.0,0.31798211772665386
-3,-3,110,3.5,0.19332784976079553
-3,-3,110,4.0,0.06850876000339436
-3,-3,110,4.5,-0.05601625312342706
-3,-3,110,5.0,-0.18068354762263455
-3,-3,120,0.5,0.8619762957872363
-3,-3,120,1.0,0.8191758223225757
-3,-3,120,1.5,0.7409833412744165
-3,-3,120,2.0,0.6321764101598487
-3,-3,120,2.5,0.5238400983882321
-3,-3,120,3.0,0.4151163948393433
-3,-3,120,3.5,0.30661397919638056
-3,-3,120,4.0,0.19778620677140726
-3,-3,120,4.5,0.08810802604753709
-3,-3,120,5.0,-0.02099573958921669
-3,-3,130,0.5,0.8573863200368314
-3,-3,130,1.0,0.8110704232238072
-3,-3,130,1.5,0.7636273928115336
-3,-3,130,2.0,0.7103945442327644
-3,-3,130,2.5,0.6212136443240208
-3,-3,130,3.0,0.5316231133260511
-3,-3,130,3.5,0.44113508917082517
-3,-3,130,4.0,0.3513462134448836
-3,-3,130,4.5,0.2600885745238358
-3,-3,130,5.0,0.17192068619371112
-3,-3,140,0.5,0.8540058818303612
-3,-3,140,1.0,0.8039353522478384
-3,-3,140,1.5,0.7549979934827523
-3,-3,140,2.0,0.7048826398851463
-3,-3,140,2.5,0.6508240877910118
-3,-3,140,3.0,0.5899718165703214
-3,-3,140,3.5,0.5329488964241772
-3,-3,140,4.0,0.4918972049090927
-3,-3,140,4.5,0.4623158257121742
-3,-3,140,5.0,0.3970277005387304
-3,-3,150,0.5,0.8524233304384049
-3,-3,150,1.0,0.8002063345338956
-3,-3,150,1.5,0.7503756336473119
-3,-3,150,2.0,0.6959909239372494
-3,-3,150,2.5,0.6324412330052692
-3,-3,150,3.0,0.5772750299238871
-3,-3,150,3.5,0.5263487725114614
-3,-3,150,4.0,0.49929107959614333
-3,-3,150,4.5,0.4715989474536063
-3,-3,150,5.0,0.43220561160120435
-3,-3,160,0.5,0.8522651216546964
-3,-3,160,1.0,0.8003228630475099
-3,-3,160,1.5,0.7462611239916015
-3,-3,160,2.0,0.6934525054664931
-3,-3,160,2.5,0.6288075071086449
-3,-3,160,3.0,0.5684076024085287
-3,-3,160,3.5,0.5390326125144158
-3,-3,160,4.0,0.5145131345784407
-3,-3,160,4.5,0.4847314165858884
-3,-3,160,5.0,0.4317205741879119
-3,-3,170,0.5,0.8545335039538821
-3,-3,170,1.0,0.8033004740845251
-3,-3,170,1.5,0.7500071061368789
-3,-3,170,2.0,0.6978576637579365
-3,-3,170,2.5,0.6349550753732335
-3,-3,170,3.0,0.5811190613000585
-3,-3,170,3.5,0.5578990987986201
-3,-3,170,4.0,0.5369564369386816
-3,-3,170,4.5,0.5017653507231593
-3,-3,170,5.0,0.43301610251574946
-3,-3,180,0.5,0.8560283427936927
-3,-3,180,1.0,0.8092173892680582
-3,-3,180,1.5,0.7583035706643418
-3,-3,180,2.0,0.7086386893132506
-3,-3,180,2.5,0.6483888341445863
-3,-3,180,3.0,0.597950805012176
-3,-3,180,3.5,0.5810535030882077
-3,-3,180,4.0,0.5635113024256965
-3,-3,180,4.5,0.5218351356144838
-3,-3,180,5.0,0.4639213340726348
-3,-3,190,0.5,0.860728497201849
-3,-3,190,1.0,0.8178583274573796
-3,-3,190,1.5,0.7714249722752676
-3,-3,190,2.0,0.7261233290579162
-3,-3,190,2.5,0.6695270513767021
-3,-3,190,3.0,0.6227707880725317
-3,-3,190,3.5,0.6077431278764045
-3,-3,190,4.0,0.5958567925179528
-3,-3,190,4.5,0.5706235375619556
-3,-3,190,5.0,0.5086676903735782
-3,-3,200,0.5,0.867156493103822
-3,-3,200,1.0,0.8289629850245531
-3,-3,200,1.5,0.7892962691170098
-3,-3,200,2.0,0.7503662352207825
-3,-3,200,2.5,0.6992954924097081
-3,-3,200,3.0,0.6509394796708902
-3,-3,200,3.5,0.6371482943080176
-3,-3,200,4.0,0.6303821701410304
-3,-3,200,4.5,0.6193675549049691
-3,-3,200,5.0,0.582662220777052
-3,-3,210,0.5,0.8738279090644246
-3,-3,210,1.0,0.8426359471355807
-3,-3,210,1.5,0.8135029921696448
-3,-3,210,2.0,0.7798360992157222
-3,-3,210,2.5,0.7359488784135132
-3,-3,210,3.0,0.7003204249873684
-3,-3,210,3.5,0.66738496174493
-3,-3,210,4.0,0.6652022498882708
-3,-3,210,4.5,0.6640429757441701
-3,-3,210,5.0,0.6514101908302663
-3,-3,220,0.5,0.8815712716124583
-3,-3,220,1.0,0.8584687592979687
-3,-3,220,1.5,0.8366455002007991
-3,-3,220,2.0,0.8130195599373924
-3,-3,220,2.5,0.7851551561489495
-3,-3,220,3.0,0.7491338229262547
-3,-3,220,3.5,0.7154540744187649
-3,-3,220,4.0,0.6995446004492487
-3,-3,220,4.5,0.7026442159960191
-3,-3,220,5.0,0.706855087718168
-3,-3,230,0.5,0.8897512853344517
-3,-3,230,1.0,0.8760832166204845
-3,-3,230,1.5,0.8612380573484788
-3,-3,230,2.0,0.8479207812140925
-3,-3,230,2.5,0.831639876435408
-3,-3,230,3.0,0.8125648854397346
-3,-3,230,3.5,0.7856073309559536
-3,-3,230,4.0,0.7671053481745774
-3,-3,230,4.5,0.743005891111872
-3,-3,230,5.0,0.7467934291535608
-3,-3,240,0.5,0.8986122450431576
-3,-3,240,1.0,0.892880863264814
-3,-3,240,1.5,0.8879875681647458
-3,-3,240,2.0,0.8827435587260126
-3,-3,240,2.5,0.8730066280966419
-3,-3,240,3.0,0.8419098069096874
-3,-3,240,3.5,0.8131201803101509
-3,-3,240,4.0,0.783512271437942
-3,-3,240,4.5,0.7541521513011673
-3,-3,240,5.0,0.7266310472147005
-3,-3,250,0.5,0.9076624759608651
-3,-3,250,1.0,0.9116337862097866
-3,-3,250,1.5,0.9148276155589453
-3,-3,250,2.0,0.88552606109122
-3,-3,250,2.5,0.85406870061347
-3,-3,250,3.0,0.822442441224432
-3,-3,250,3.5,0.7902131591481261
-3,-3,250,4.0,0.7563897918031885
-3,-3,250,4.5,0.7243940962488791
